country_name,entity_id,country_code,__last_seen,__first_seen
Afghan,au-dfat-sanctions.4,,2018-04-12 08:16:37.752587,2018-04-12 08:16:33.341729
Afghanistan,au-dfat-sanctions.25,AF,2018-04-12 08:16:38.385914,2018-04-12 08:16:34.833169
Afghanistan,au-dfat-sanctions.6,AF,2018-04-12 08:16:38.536038,2018-04-12 08:16:36.736265
Afghan,au-dfat-sanctions.31,,2018-04-12 08:16:39.119575,2018-04-12 08:16:38.786188
Afghanistan,au-dfat-sanctions.38,AF,2018-04-12 08:16:39.297854,2018-04-12 08:16:36.999975
Afghan,au-dfat-sanctions.30,,2018-04-12 08:16:39.669902,2018-04-12 08:16:38.168802
Afghanistan,au-dfat-sanctions.49,AF,2018-04-12 08:16:39.961444,2018-04-12 08:16:38.343861
Afghanistan,au-dfat-sanctions.44,AF,2018-04-12 08:16:40.310225,2018-04-12 08:16:38.668942
Afghanistan,au-dfat-sanctions.36,AF,2018-04-12 08:16:40.484217,2018-04-12 08:16:38.977484
Afghanistan,au-dfat-sanctions.9,AF,2018-04-12 08:16:40.653195,2018-04-12 08:16:34.535101
Afghanistan,au-dfat-sanctions.26,AF,2018-04-12 08:16:40.669800,2018-04-12 08:16:36.008339
Afghanistan,au-dfat-sanctions.52,AF,2018-04-12 08:16:40.678437,2018-04-12 08:16:40.638218
Afghanistan,au-dfat-sanctions.27,AF,2018-04-12 08:16:41.069773,2018-04-12 08:16:36.249840
Afghanistan,au-dfat-sanctions.63,AF,2018-04-12 08:16:41.253171,2018-04-12 08:16:39.319115
Afghanistan,au-dfat-sanctions.68,AF,2018-04-12 08:16:44.971581,2018-04-12 08:16:42.153340
Afghan,au-dfat-sanctions.83,,2018-04-12 08:16:58.641233,2018-04-12 08:16:42.970166
Afghanistan,au-dfat-sanctions.3,AF,2018-04-12 08:17:03.564391,2018-04-12 08:16:29.966997
a)  Jordan b) United States of America,au-dfat-sanctions.199,,2018-04-12 08:17:05.939840,2018-04-12 08:17:00.989760
Afghanistan,au-dfat-sanctions.11,AF,2018-04-12 08:17:15.644172,2018-04-12 08:16:34.536537
Moroccan ,au-dfat-sanctions.360,MA,2018-04-12 08:17:50.878555,2018-04-12 08:17:50.345370
Iraqi,au-dfat-sanctions.651,IQ,2018-04-12 08:18:32.580785,2018-04-12 08:18:31.314302
Iraqi,au-dfat-sanctions.672,IQ,2018-04-12 08:18:36.407030,2018-04-12 08:18:36.015176
Iraqi,au-dfat-sanctions.671,IQ,2018-04-12 08:18:36.648553,2018-04-12 08:18:36.293842
Iraqi,au-dfat-sanctions.656,IQ,2018-04-12 08:18:37.977350,2018-04-12 08:18:34.948283
Iraqi,au-dfat-sanctions.650,IQ,2018-04-12 08:18:38.398661,2018-04-12 08:18:31.451375
Iraqi,au-dfat-sanctions.695,IQ,2018-04-12 08:18:38.407325,2018-04-12 08:18:36.782031
Iraqi,au-dfat-sanctions.659,IQ,2018-04-12 08:18:39.665368,2018-04-12 08:18:35.648394
Libya,au-dfat-sanctions.580,LY,2018-04-12 08:18:47.117169,2018-04-12 08:18:08.554704
Iraqi,au-dfat-sanctions.706,IQ,2018-04-12 08:18:52.834856,2018-04-12 08:18:39.241035
Pakistani,au-dfat-sanctions.1119,PK,2018-04-12 08:18:54.172197,2018-04-12 08:18:52.109556
Somalia,au-dfat-sanctions.1142,SO,2018-04-12 08:19:01.440440,2018-04-12 08:18:56.169087
a) Russian  b) USSR (until 1991)  ,au-dfat-sanctions.1241,,2018-04-12 08:19:03.913240,2018-04-12 08:19:00.757388
Serbian,au-dfat-sanctions.1736,RS,2018-04-12 08:19:08.993625,2018-04-12 08:19:08.143336
Iranian,au-dfat-sanctions.1964,IR,2018-04-12 08:19:10.907789,2018-04-12 08:19:10.891191
Iranian,au-dfat-sanctions.1943,IR,2018-04-12 08:19:11.002148,2018-04-12 08:19:10.515996
Serbian,au-dfat-sanctions.1769,RS,2018-04-12 08:19:11.991453,2018-04-12 08:19:11.991453
Pakistani,au-dfat-sanctions.2531,PK,2018-04-12 08:19:22.151868,2018-04-12 08:19:20.804793
Afghan,au-dfat-sanctions.2524,,2018-04-12 08:19:22.847154,2018-04-12 08:19:19.879445
Congolese,au-dfat-sanctions.2553,CD,2018-04-12 08:19:24.952521,2018-04-12 08:19:22.419334
Saudi Arabian,au-dfat-sanctions.2948,SA,2018-04-12 08:19:40.260474,2018-04-12 08:19:34.188054
Afghanistan,au-dfat-sanctions.42,AF,2018-04-12 08:16:42.936983,2018-04-12 08:16:37.993697
