country_name,entity_id,country_code,__last_seen,__first_seen
Greece,coe_assembly.7390,GR,2018-04-26 06:30:18.279966,2018-04-12 06:13:52.394640
Czech Republic,coe_assembly.7184,CZ,2018-04-26 06:30:24.613198,2018-04-12 06:13:23.447215
Mexico,coe_assembly.7002,MX,2018-04-19 06:24:03.680311,2018-04-12 06:13:40.947742
Jordan,coe_assembly.7572,JO,2018-04-19 06:24:03.830283,2018-04-12 06:13:30.933325
Germany,coe_assembly.7235,DE,2018-04-19 06:24:21.574133,2018-04-12 06:15:14.261497
Germany,coe_assembly.7890,DE,2018-04-26 06:30:02.321459,2018-04-12 06:13:30.599039
Palestine,coe_assembly.7608,PS,2018-04-26 06:30:02.321553,2018-04-12 06:13:30.597199
Bosnia and Herzegovina,coe_assembly.7381,BA,2018-04-26 06:30:02.775024,2018-04-12 06:13:31.013931
Malta,coe_assembly.7786,MT,2018-04-26 06:30:02.774979,2018-04-12 06:13:31.055690
Romania,coe_assembly.6455,RO,2018-04-26 06:30:18.688589,2018-04-12 06:13:40.808753
United Kingdom,coe_assembly.7813,GB,2018-04-26 06:30:18.698934,2018-04-12 06:13:41.097714
Germany,coe_assembly.5553,DE,2018-04-26 06:30:18.698974,2018-04-12 06:13:41.222569
Bosnia and Herzegovina,coe_assembly.7383,BA,2018-04-26 06:30:18.699357,2018-04-12 06:13:39.816665
Spain,coe_assembly.6907,ES,2018-04-26 06:30:18.698824,2018-04-12 06:13:41.264639
Spain,coe_assembly.7596,ES,2018-04-26 06:30:18.698833,2018-04-12 06:13:32.768527
Hungary,coe_assembly.7263,HU,2018-04-26 06:30:18.749307,2018-04-12 06:13:41.359412
Switzerland,coe_assembly.7530,CH,2018-04-26 06:30:23.177025,2018-04-12 06:13:32.899435
Albania,coe_assembly.7798,AL,2018-04-26 06:30:23.187561,2018-04-12 06:13:33.099217
Albania,coe_assembly.7799,AL,2018-04-26 06:30:23.187153,2018-04-12 06:13:33.185191
Poland,coe_assembly.7518,PL,2018-04-26 06:30:23.187154,2018-04-12 06:13:33.003442
Bulgaria,coe_assembly.7739,BG,2018-04-26 06:30:23.657111,2018-04-12 06:13:33.226830
Slovak Republic,coe_assembly.6931,SK,2018-04-26 06:30:24.115301,2018-04-12 06:13:33.360159
Turkey,coe_assembly.6787,TR,2018-04-26 06:30:24.613303,2018-04-12 06:13:23.413907
Italy,coe_assembly.7145,IT,2018-04-26 06:30:25.365537,2018-04-12 06:13:33.411450
Morocco,coe_assembly.7758,MA,2018-04-26 06:30:25.365699,2018-04-12 06:13:33.518673
United Kingdom,coe_assembly.7815,GB,2018-04-26 06:30:25.365343,2018-04-12 06:13:33.557490
Hungary,coe_assembly.7795,HU,2018-04-26 06:30:26.845438,2018-04-12 06:13:44.453211
Denmark,coe_assembly.7435,DK,2018-04-26 06:30:41.981210,2018-04-12 06:13:48.294297
Morocco,coe_assembly.7759,MA,2018-04-26 06:30:42.531267,2018-04-12 06:14:00.005734
Norway,coe_assembly.7174,NO,2018-04-26 06:31:57.377357,2018-04-12 06:15:15.765794
Poland,coe_assembly.7512,PL,2018-04-26 06:30:26.324141,2018-04-12 06:13:30.772890
San Marino,coe_assembly.7670,SM,2018-04-26 06:30:26.788569,2018-04-12 06:13:43.720140
United Kingdom,coe_assembly.6870,GB,2018-04-26 06:30:26.791040,2018-04-12 06:13:43.768477
Turkey,coe_assembly.6783,TR,2018-04-26 06:30:39.181751,2018-04-12 06:13:47.584233
Assembly of Kosovo,coe_assembly.7831,,2018-04-26 06:30:39.181308,2018-04-12 06:13:47.625911
Austria,coe_assembly.7198,AT,2018-04-26 06:30:42.014307,2018-04-12 06:13:50.080288
Canada,coe_assembly.7568,CA,2018-04-26 06:31:57.328142,2018-04-12 06:15:15.619833
Croatia,coe_assembly.7669,HR,2018-04-26 06:32:03.775140,2018-04-12 06:15:17.219729
Mexico,coe_assembly.7557,MX,2018-04-26 06:30:26.362288,2018-04-12 06:13:31.214563
France,coe_assembly.7763,FR,2018-04-26 06:30:26.790532,2018-04-12 06:13:43.201467
Belgium,coe_assembly.6636,BE,2018-04-26 06:30:39.181254,2018-04-12 06:13:44.977486
United Kingdom,coe_assembly.3092,GB,2018-04-26 06:30:39.181431,2018-04-12 06:13:45.028437
United Kingdom,coe_assembly.6656,GB,2018-04-26 06:30:41.972934,2018-04-12 06:13:47.270031
Cyprus,coe_assembly.7613,CY,2018-04-26 06:30:41.981655,2018-04-12 06:13:47.311786
Norway,coe_assembly.7805,NO,2018-04-26 06:30:41.981587,2018-04-12 06:13:47.395162
Turkey,coe_assembly.7848,TR,2018-04-26 06:30:41.981624,2018-04-12 06:13:47.575924
Morocco,coe_assembly.7734,MA,2018-04-26 06:30:41.981348,2018-04-12 06:13:47.488136
Luxembourg,coe_assembly.7450,LU,2018-04-26 06:31:57.328131,2018-04-12 06:15:15.711490
France,coe_assembly.7255,FR,2018-04-19 06:24:03.120520,2018-04-12 06:13:40.031541
Jordan,coe_assembly.7883,JO,2018-04-26 06:30:02.321222,2018-04-12 06:13:41.098747
Sweden,coe_assembly.7295,SE,2018-04-26 06:30:02.321559,2018-04-12 06:13:40.840473
Palestine,coe_assembly.6828,PS,2018-04-26 06:30:02.464706,2018-04-12 06:13:40.956923
Palestine,coe_assembly.7607,PS,2018-04-26 06:30:18.279105,2018-04-12 06:13:41.298535
United Kingdom,coe_assembly.7044,GB,2018-04-26 06:30:18.699359,2018-04-12 06:13:32.707224
Croatia,coe_assembly.7663,HR,2018-04-26 06:30:18.726849,2018-04-12 06:13:32.793011
Germany,coe_assembly.7224,DE,2018-04-26 06:30:24.612295,2018-04-12 06:13:42.968544
Ukraine,coe_assembly.7366,UA,2018-04-26 06:30:24.645585,2018-04-12 06:13:43.010237
Ireland,coe_assembly.7836,IE,2018-04-26 06:30:25.355168,2018-04-12 06:13:33.482252
Bosnia and Herzegovina,coe_assembly.7382,BA,2018-04-26 06:30:26.323852,2018-04-12 06:13:33.649163
United Kingdom,coe_assembly.7817,GB,2018-04-26 06:30:26.323725,2018-04-12 06:13:33.565455
Italy,coe_assembly.7127,IT,2018-04-26 06:30:26.790308,2018-04-12 06:13:42.424325
France,coe_assembly.7774,FR,2018-04-26 06:30:26.790233,2018-04-12 06:13:42.835275
Italy,coe_assembly.7377,IT,2018-04-26 06:30:39.181659,2018-04-12 06:13:44.419458
Bulgaria,coe_assembly.7876,BG,2018-04-26 06:30:39.181895,2018-04-12 06:13:44.461014
Italy,coe_assembly.7120,IT,2018-04-26 06:30:39.181332,2018-04-12 06:13:45.345125
United Kingdom,coe_assembly.6666,GB,2018-04-26 06:30:39.181308,2018-04-12 06:13:44.919922
Canada,coe_assembly.6468,CA,2018-04-26 06:30:39.212724,2018-04-12 06:13:45.020012
Ukraine,coe_assembly.5822,UA,2018-04-26 06:30:39.260040,2018-04-12 06:13:44.561158
Israel,coe_assembly.7419,IL,2018-04-26 06:30:41.981360,2018-04-12 06:13:47.193409
Norway,coe_assembly.7811,NO,2018-04-26 06:30:41.979774,2018-04-12 06:13:47.104103
Liechtenstein,coe_assembly.7724,LI,2018-04-26 06:30:41.981470,2018-04-12 06:13:48.021122
Portugal,coe_assembly.7542,PT,2018-04-26 06:30:42.022761,2018-04-12 06:13:47.304284
Spain,coe_assembly.7643,ES,2018-04-26 06:31:08.770500,2018-04-12 06:15:03.800635
Italy,coe_assembly.7122,IT,2018-04-26 06:31:09.703584,2018-04-12 06:15:04.168644
Spain,coe_assembly.6362,ES,2018-04-26 06:31:57.719256,2018-04-12 06:15:15.961684
Italy,coe_assembly.7135,IT,2018-04-26 06:30:46.026531,2018-04-12 06:14:43.445028
Poland,coe_assembly.6854,PL,2018-04-26 06:30:48.372901,2018-04-12 06:14:46.700114
Czech Republic,coe_assembly.7692,CZ,2018-04-26 06:30:48.409718,2018-04-12 06:14:46.794859
Israel,coe_assembly.5973,IL,2018-04-26 06:30:52.636592,2018-04-12 06:14:46.836541
Germany,coe_assembly.7892,DE,2018-04-26 06:30:52.645274,2018-04-12 06:14:46.931944
Luxembourg,coe_assembly.7210,LU,2018-04-26 06:30:52.644745,2018-04-12 06:14:47.092634
Denmark,coe_assembly.6813,DK,2018-04-26 06:30:59.388688,2018-04-12 06:14:54.814992
Slovak Republic,coe_assembly.4156,SK,2018-04-26 06:30:59.430291,2018-04-12 06:14:54.919463
Italy,coe_assembly.7537,IT,2018-04-26 06:30:59.439181,2018-04-12 06:14:55.023605
Republic of Moldova,coe_assembly.6570,MD,2018-04-26 06:31:02.046734,2018-04-12 06:14:55.140187
Serbia,coe_assembly.7628,RS,2018-04-26 06:31:05.721646,2018-04-12 06:15:02.262414
Jordan,coe_assembly.7882,JO,2018-04-26 06:31:06.194392,2018-04-12 06:15:02.341597
Poland,coe_assembly.6855,PL,2018-04-26 06:31:06.202622,2018-04-12 06:15:02.437570
Poland,coe_assembly.7515,PL,2018-04-26 06:31:06.659798,2018-04-12 06:15:04.631181
Luxembourg,coe_assembly.7102,LU,2018-04-26 06:31:08.820634,2018-04-12 06:15:04.875577
Denmark,coe_assembly.6988,DK,2018-04-26 06:30:52.644944,2018-04-12 06:14:43.446216
Finland,coe_assembly.7411,FI,2018-04-26 06:30:52.680617,2018-04-12 06:14:45.214621
Poland,coe_assembly.7513,PL,2018-04-26 06:30:56.820501,2018-04-12 06:14:52.815246
Slovenia,coe_assembly.7278,SI,2018-04-26 06:30:59.388472,2018-04-12 06:14:54.545172
Bulgaria,coe_assembly.7740,BG,2018-04-26 06:31:00.321907,2018-04-12 06:14:54.749269
