country_name,entity_id,country_code,__last_seen,__first_seen
AFG,eu-eeas-sanctions.647,AF,2018-05-01 01:09:45.821264,2018-04-12 07:35:43.416067
AFG,eu-eeas-sanctions.661,AF,2018-05-01 01:09:46.221633,2018-04-12 07:35:48.084113
AFG,eu-eeas-sanctions.734,AF,2018-05-01 01:09:47.004990,2018-04-12 07:35:46.616768
AFG,eu-eeas-sanctions.706,AF,2018-05-01 01:09:47.297167,2018-04-12 07:35:50.474236
AFG,eu-eeas-sanctions.716,AF,2018-05-01 01:09:47.847086,2018-04-12 07:35:46.106858
AFG,eu-eeas-sanctions.841,AF,2018-05-01 01:09:51.381518,2018-04-12 07:35:48.531619
AFG,eu-eeas-sanctions.793,AF,2018-05-01 01:09:53.616600,2018-04-12 07:35:46.966973
AFG,eu-eeas-sanctions.829,AF,2018-05-01 01:09:53.816754,2018-04-12 07:35:48.828649
AFG,eu-eeas-sanctions.831,AF,2018-05-01 01:09:53.842031,2018-04-12 07:35:47.957312
AFG,eu-eeas-sanctions.781,AF,2018-05-01 01:09:54.524532,2018-04-12 07:35:48.331543
IRQ,eu-eeas-sanctions.1924,IQ,2018-05-01 01:09:56.786801,2018-04-12 07:35:53.851082
IRQ,eu-eeas-sanctions.3081,IQ,2018-05-01 01:09:59.500411,2018-04-12 07:35:55.719523
COD,eu-eeas-sanctions.3185,CD,2018-05-01 01:10:00.025668,2018-04-12 07:35:56.883844
COD,eu-eeas-sanctions.3191,CD,2018-05-01 01:10:00.025788,2018-04-12 07:35:57.825567
IRQ,eu-eeas-sanctions.3641,IQ,2018-05-01 01:10:00.581690,2018-04-12 07:35:57.250562
IRQ,eu-eeas-sanctions.3224,IQ,2018-05-01 01:10:00.756587,2018-04-12 07:35:57.417547
IDN,eu-eeas-sanctions.3341,ID,2018-05-01 01:10:01.516645,2018-04-12 07:35:57.800926
KWT,eu-eeas-sanctions.4141,KW,2018-05-01 01:10:02.158532,2018-04-12 07:36:11.454788
AFG,eu-eeas-sanctions.5803,AF,2018-05-01 01:10:04.639409,2018-04-12 07:36:21.097771
AFG,eu-eeas-sanctions.5925,AF,2018-05-01 01:10:05.011158,2018-04-12 07:36:18.656190
TUN,eu-eeas-sanctions.6082,TN,2018-05-01 01:10:05.464793,2018-04-12 07:36:18.063980
AFG,eu-eeas-sanctions.6613,AF,2018-05-01 01:10:08.496306,2018-04-12 07:36:37.315018
IDN,eu-eeas-sanctions.6945,ID,2018-05-01 01:10:09.880589,2018-04-12 07:36:40.206680
GNB,eu-eeas-sanctions.7030,GW,2018-05-01 01:10:10.022124,2018-04-12 07:36:40.707322
AFG,eu-eeas-sanctions.7178,AF,2018-05-01 01:10:12.561605,2018-04-12 07:36:45.975294
NGA,eu-eeas-sanctions.7370,NG,2018-05-01 01:10:14.325809,2018-04-12 07:37:35.624906
KWT,eu-eeas-sanctions.7447,KW,2018-05-01 01:10:14.968153,2018-04-12 07:37:45.239113
SYR,eu-eeas-sanctions.7481,SY,2018-05-01 01:10:15.926758,2018-04-12 07:37:52.288308
YEM,eu-eeas-sanctions.7542,YE,2018-05-01 01:10:16.602549,2018-04-12 07:37:48.438073
QAT,eu-eeas-sanctions.7548,QA,2018-05-01 01:10:16.785835,2018-04-12 07:37:46.837059
IDN,eu-eeas-sanctions.7598,ID,2018-05-01 01:10:17.544199,2018-04-12 07:37:48.637375
BDI,eu-eeas-sanctions.106457,BI,2018-05-01 01:10:17.844578,2018-04-12 07:37:50.763388
SDN,eu-eeas-sanctions.105631,SD,2018-05-01 01:10:17.907784,2018-04-12 07:37:55.735352
RUS,eu-eeas-sanctions.106584,RU,2018-05-01 01:10:17.949038,2018-04-12 07:37:51.696145
LBY,eu-eeas-sanctions.107691,LY,2018-05-01 01:10:18.045177,2018-04-12 07:37:52.776646
FRA,eu-eeas-sanctions.106542,FR,2018-05-01 01:10:18.045161,2018-04-12 07:37:51.321821
AFG,eu-eeas-sanctions.651,AF,2018-05-01 01:09:44.994851,2018-04-12 07:35:44.174675
AFG,eu-eeas-sanctions.693,AF,2018-05-01 01:09:45.813073,2018-04-12 07:35:46.731408
AFG,eu-eeas-sanctions.717,AF,2018-05-01 01:09:47.013331,2018-04-12 07:35:47.089894
AFG,eu-eeas-sanctions.727,AF,2018-05-01 01:09:48.772530,2018-04-12 07:35:47.092382
AFG,eu-eeas-sanctions.779,AF,2018-05-01 01:09:53.858406,2018-04-12 07:35:47.048794
IRQ,eu-eeas-sanctions.1925,IQ,2018-05-01 01:09:54.524842,2018-04-12 07:35:51.894513
YEM,eu-eeas-sanctions.966,YE,2018-05-01 01:09:55.813556,2018-04-12 07:35:52.916109
FRA,eu-eeas-sanctions.1019,FR,2018-05-01 01:09:57.612516,2018-04-12 07:35:50.307057
SOM,eu-eeas-sanctions.1961,SO,2018-05-01 01:09:57.829310,2018-04-12 07:35:53.416454
IND,eu-eeas-sanctions.1079,IN,2018-05-01 01:09:59.438609,2018-04-12 07:35:52.018092
KWT,eu-eeas-sanctions.4140,KW,2018-05-01 01:10:01.015552,2018-04-12 07:36:11.446825
DZA,eu-eeas-sanctions.5295,DZ,2018-05-01 01:10:02.333709,2018-04-12 07:36:13.968105
PAK,eu-eeas-sanctions.5419,PK,2018-05-01 01:10:02.892717,2018-04-12 07:36:10.046263
PHL,eu-eeas-sanctions.5263,PH,2018-05-01 01:10:03.204732,2018-04-12 07:36:10.490754
TUN,eu-eeas-sanctions.6045,TN,2018-05-01 01:10:04.418697,2018-04-12 07:36:24.772874
TUN,eu-eeas-sanctions.6061,TN,2018-05-01 01:10:04.443780,2018-04-12 07:36:26.747576
AFG,eu-eeas-sanctions.5804,AF,2018-05-01 01:10:04.576950,2018-04-12 07:36:17.888608
TUN,eu-eeas-sanctions.6077,TN,2018-05-01 01:10:05.281057,2018-04-12 07:36:20.314823
YEM,eu-eeas-sanctions.5629,YE,2018-05-01 01:10:05.481662,2018-04-12 07:36:17.663851
IRN,eu-eeas-sanctions.6617,IR,2018-05-01 01:10:08.191917,2018-04-12 07:36:37.803375
USA,eu-eeas-sanctions.6617,US,2018-05-01 01:10:08.208379,2018-04-12 07:36:37.873041
DEU,eu-eeas-sanctions.6908,DE,2018-05-01 01:10:09.805199,2018-04-12 07:36:39.965221
MAR,eu-eeas-sanctions.6908,MA,2018-05-01 01:10:09.872157,2018-04-12 07:36:40.007127
GNB,eu-eeas-sanctions.7042,GW,2018-05-01 01:10:10.247445,2018-04-12 07:36:40.862174
GNB,eu-eeas-sanctions.7051,GW,2018-05-01 01:10:10.468712,2018-04-12 07:36:40.406819
GNB,eu-eeas-sanctions.7032,GW,2018-05-01 01:10:10.755412,2018-04-12 07:36:42.728944
PAK,eu-eeas-sanctions.6947,PK,2018-05-01 01:10:10.935205,2018-04-12 07:36:40.015662
DZA,eu-eeas-sanctions.7204,DZ,2018-05-01 01:10:11.510917,2018-04-12 07:36:44.607544
COD,eu-eeas-sanctions.7200,CD,2018-05-01 01:10:11.952830,2018-04-12 07:36:44.382507
PAK,eu-eeas-sanctions.7168,PK,2018-05-01 01:10:11.986240,2018-04-12 07:36:44.582917
MLI,eu-eeas-sanctions.7251,ML,2018-05-01 01:10:12.282025,2018-04-12 07:38:05.000735
MLI,eu-eeas-sanctions.7218,ML,2018-05-01 01:10:12.465668,2018-04-12 07:36:45.249149
PAK,eu-eeas-sanctions.7314,PK,2018-05-01 01:10:13.942593,2018-04-12 07:37:49.988333
CAF,eu-eeas-sanctions.7356,CF,2018-05-01 01:10:14.230057,2018-04-12 07:37:51.521438
IRQ,eu-eeas-sanctions.7444,IQ,2018-05-01 01:10:15.351503,2018-04-12 07:37:44.533314
NOR,eu-eeas-sanctions.7476,NO,2018-05-01 01:10:15.498222,2018-04-12 07:37:51.863336
IRQ,eu-eeas-sanctions.7484,IQ,2018-05-01 01:10:16.001835,2018-04-12 07:37:48.042650
YEM,eu-eeas-sanctions.7540,YE,2018-05-01 01:10:16.502329,2018-04-12 07:37:46.533951
BDI,eu-eeas-sanctions.106446,BI,2018-05-01 01:10:17.094433,2018-04-12 07:37:49.917644
IDN,eu-eeas-sanctions.7596,ID,2018-05-01 01:10:17.094338,2018-04-12 07:37:48.420642
SDN,eu-eeas-sanctions.105618,SD,2018-05-01 01:10:17.653004,2018-04-12 07:37:49.551693
GBR,eu-eeas-sanctions.106554,GB,2018-05-01 01:10:17.711323,2018-04-12 07:37:51.143279
AFG,eu-eeas-sanctions.696,AF,2018-05-01 01:09:45.395587,2018-04-12 07:35:45.714973
AFG,eu-eeas-sanctions.656,AF,2018-05-01 01:09:45.912197,2018-04-12 07:35:43.707916
IRQ,eu-eeas-sanctions.1926,IQ,2018-05-01 01:09:57.028626,2018-04-12 07:35:52.074595
IRQ,eu-eeas-sanctions.2223,IQ,2018-05-01 01:09:59.413877,2018-04-12 07:35:54.999755
MAR,eu-eeas-sanctions.3062,MA,2018-05-01 01:09:59.500352,2018-04-12 07:35:56.103257
UGA,eu-eeas-sanctions.3193,UG,2018-05-01 01:09:59.508586,2018-04-12 07:35:57.050720
IRQ,eu-eeas-sanctions.3083,IQ,2018-05-01 01:10:00.033856,2018-04-12 07:35:55.983874
SYR,eu-eeas-sanctions.3227,SY,2018-05-01 01:10:00.205795,2018-04-12 07:35:58.017319
IDN,eu-eeas-sanctions.3343,ID,2018-05-01 01:10:01.073454,2018-04-12 07:35:57.250578
KWT,eu-eeas-sanctions.4142,KW,2018-05-01 01:10:02.150653,2018-04-12 07:36:09.146053
QAT,eu-eeas-sanctions.5339,QA,2018-05-01 01:10:02.700877,2018-04-12 07:36:11.238230
RWA,eu-eeas-sanctions.4686,RW,2018-05-01 01:10:03.134450,2018-04-12 07:36:09.296093
SOM,eu-eeas-sanctions.5616,SO,2018-05-01 01:10:03.301232,2018-04-12 07:36:16.426562
USA,eu-eeas-sanctions.5794,US,2018-05-01 01:10:04.251943,2018-04-12 07:36:17.252444
YEM,eu-eeas-sanctions.5794,YE,2018-05-01 01:10:04.268509,2018-04-12 07:36:17.272509
TUN,eu-eeas-sanctions.6046,TN,2018-05-01 01:10:04.810629,2018-04-12 07:36:24.897710
RWA,eu-eeas-sanctions.5806,RW,2018-05-01 01:10:04.868915,2018-04-12 07:36:25.481094
TUN,eu-eeas-sanctions.6062,TN,2018-05-01 01:10:05.089206,2018-04-12 07:36:27.039244
RWA,eu-eeas-sanctions.5808,RW,2018-05-01 01:10:05.097999,2018-04-12 07:36:17.913650
TUN,eu-eeas-sanctions.6086,TN,2018-05-01 01:10:05.648094,2018-04-12 07:36:20.147866
AFG,eu-eeas-sanctions.6614,AF,2018-05-01 01:10:09.246546,2018-04-12 07:36:35.939194
IDN,eu-eeas-sanctions.6944,ID,2018-05-01 01:10:09.880600,2018-04-12 07:36:39.798471
GNB,eu-eeas-sanctions.7029,GW,2018-05-01 01:10:10.802128,2018-04-12 07:36:44.963088
MLI,eu-eeas-sanctions.7219,ML,2018-05-01 01:10:11.748413,2018-04-12 07:36:48.155103
SAU,eu-eeas-sanctions.7477,SA,2018-05-01 01:10:15.864786,2018-04-12 07:37:44.941899
YEM,eu-eeas-sanctions.7541,YE,2018-05-01 01:10:16.127031,2018-04-12 07:37:48.279190
JOR,eu-eeas-sanctions.7547,JO,2018-05-01 01:10:16.940652,2018-04-12 07:37:55.363263
FRA,eu-eeas-sanctions.106540,FR,2018-05-01 01:10:17.644722,2018-04-12 07:37:55.914341
IDN,eu-eeas-sanctions.7597,ID,2018-05-01 01:10:17.661163,2018-04-12 07:37:55.605963
BDI,eu-eeas-sanctions.106451,BI,2018-05-01 01:10:17.907502,2018-04-12 07:37:50.012606
AFG,eu-eeas-sanctions.703,AF,2018-05-01 01:09:45.779249,2018-04-12 07:35:46.489993
AFG,eu-eeas-sanctions.699,AF,2018-05-01 01:09:47.772195,2018-04-12 07:35:49.217480
AFG,eu-eeas-sanctions.839,AF,2018-05-01 01:09:50.355949,2018-04-12 07:35:47.516994
JOR,eu-eeas-sanctions.945,JO,2018-05-01 01:09:50.955938,2018-04-12 07:35:49.025371
AFG,eu-eeas-sanctions.849,AF,2018-05-01 01:09:54.777063,2018-04-12 07:35:48.442520
DZA,eu-eeas-sanctions.1964,DZ,2018-05-01 01:09:55.154352,2018-04-12 07:35:54.135234
IDN,eu-eeas-sanctions.1069,ID,2018-05-01 01:09:55.497965,2018-04-12 07:35:51.425631
IRQ,eu-eeas-sanctions.2208,IQ,2018-05-01 01:09:59.421847,2018-04-12 07:35:55.511370
RWA,eu-eeas-sanctions.3741,RW,2018-05-01 01:10:00.197678,2018-04-12 07:35:57.425165
COD,eu-eeas-sanctions.3195,CD,2018-05-01 01:10:00.450995,2018-04-12 07:35:56.850043
SDN,eu-eeas-sanctions.3361,SD,2018-05-01 01:10:00.484283,2018-04-12 07:35:58.828657
RWA,eu-eeas-sanctions.3187,RW,2018-05-01 01:10:01.327695,2018-04-12 07:35:56.883563
AFG,eu-eeas-sanctions.4020,AF,2018-05-01 01:10:01.878191,2018-04-12 07:36:13.688246
PHL,eu-eeas-sanctions.5262,PH,2018-05-01 01:10:02.534035,2018-04-12 07:36:11.663514
DZA,eu-eeas-sanctions.5626,DZ,2018-05-01 01:10:03.213024,2018-04-12 07:36:15.055838
PAK,eu-eeas-sanctions.5418,PK,2018-05-01 01:10:03.693118,2018-04-12 07:36:11.855153
RWA,eu-eeas-sanctions.5807,RW,2018-05-01 01:10:04.735508,2018-04-12 07:36:16.397210
TUN,eu-eeas-sanctions.6047,TN,2018-05-01 01:10:05.019301,2018-04-12 07:36:26.130982
TUN,eu-eeas-sanctions.6079,TN,2018-05-01 01:10:05.081146,2018-04-12 07:36:19.689467
TUN,eu-eeas-sanctions.6055,TN,2018-05-01 01:10:05.114406,2018-04-12 07:36:17.738984
TUN,eu-eeas-sanctions.6087,TN,2018-05-01 01:10:05.131039,2018-04-12 07:36:19.361128
TUN,eu-eeas-sanctions.6063,TN,2018-05-01 01:10:05.139373,2018-04-12 07:36:18.647378
TUN,eu-eeas-sanctions.6071,TN,2018-05-01 01:10:05.648169,2018-04-12 07:36:18.535626
COD,eu-eeas-sanctions.5809,CD,2018-05-01 01:10:05.673466,2018-04-12 07:36:16.785347
ETH,eu-eeas-sanctions.6552,ET,2018-05-01 01:10:07.407809,2018-04-12 07:36:38.444978
IRN,eu-eeas-sanctions.6620,IR,2018-05-01 01:10:09.043093,2018-04-12 07:36:36.419604
AFG,eu-eeas-sanctions.6942,AF,2018-05-01 01:10:10.143474,2018-04-12 07:36:39.348734
GNB,eu-eeas-sanctions.7054,GW,2018-05-01 01:10:10.460483,2018-04-12 07:36:45.507887
MRT,eu-eeas-sanctions.7220,MR,2018-05-01 01:10:11.944582,2018-04-12 07:36:45.240635
MLI,eu-eeas-sanctions.7220,ML,2018-05-01 01:10:11.961241,2018-04-12 07:36:45.257353
SAU,eu-eeas-sanctions.7442,SA,2018-05-01 01:10:15.639250,2018-04-12 07:37:41.416444
TUN,eu-eeas-sanctions.7478,TN,2018-05-01 01:10:15.968539,2018-04-12 07:37:46.559463
JOR,eu-eeas-sanctions.7550,JO,2018-05-01 01:10:16.681547,2018-04-12 07:37:48.246230
YEM,eu-eeas-sanctions.106546,YE,2018-05-01 01:10:17.949262,2018-04-12 07:37:50.911259
PRK,eu-eeas-sanctions.107812,KP,2018-05-01 01:10:18.258270,2018-04-12 07:37:53.868807
LBY,eu-eeas-sanctions.107679,LY,2018-05-01 01:10:18.666482,2018-04-12 07:37:53.520232
AFG,eu-eeas-sanctions.702,AF,2018-05-01 01:09:47.097378,2018-04-12 07:35:46.289745
EGY,eu-eeas-sanctions.750,EG,2018-05-01 01:09:48.021530,2018-04-12 07:35:47.150930
JOR,eu-eeas-sanctions.836,JO,2018-05-01 01:09:50.973062,2018-04-12 07:35:47.598279
PAK,eu-eeas-sanctions.826,PK,2018-05-01 01:09:53.423913,2018-04-12 07:35:47.231552
AFG,eu-eeas-sanctions.842,AF,2018-05-01 01:09:54.042560,2018-04-12 07:35:51.242772
AFG,eu-eeas-sanctions.844,AF,2018-05-01 01:09:55.838623,2018-04-12 07:35:51.434580
DZA,eu-eeas-sanctions.944,DZ,2018-05-01 01:09:55.997685,2018-04-12 07:35:49.609221
IRQ,eu-eeas-sanctions.2221,IQ,2018-05-01 01:09:58.696454,2018-04-12 07:35:55.736463
IDN,eu-eeas-sanctions.2922,ID,2018-05-01 01:10:00.017175,2018-04-12 07:35:55.536090
SDN,eu-eeas-sanctions.3363,SD,2018-05-01 01:10:00.509916,2018-04-12 07:35:58.017661
PHL,eu-eeas-sanctions.5261,PH,2018-05-01 01:10:01.941725,2018-04-12 07:36:11.630340
TUN,eu-eeas-sanctions.3562,TN,2018-05-01 01:10:02.141922,2018-04-12 07:35:58.017665
SAU,eu-eeas-sanctions.5417,SA,2018-05-01 01:10:02.533667,2018-04-12 07:36:12.346640
RWA,eu-eeas-sanctions.5421,RW,2018-05-01 01:10:03.151404,2018-04-12 07:36:12.561066
SOM,eu-eeas-sanctions.5620,SO,2018-05-01 01:10:03.971957,2018-04-12 07:36:15.539192
SWE,eu-eeas-sanctions.5620,SE,2018-05-01 01:10:04.035082,2018-04-12 07:36:15.555667
TUN,eu-eeas-sanctions.6052,TN,2018-05-01 01:10:04.568672,2018-04-12 07:36:18.464481
SOM,eu-eeas-sanctions.5610,SO,2018-05-01 01:10:04.919270,2018-04-12 07:36:12.238403
TUN,eu-eeas-sanctions.6068,TN,2018-05-01 01:10:05.194432,2018-04-12 07:36:17.688885
TUN,eu-eeas-sanctions.6084,TN,2018-05-01 01:10:05.673096,2018-04-12 07:36:23.361361
IRN,eu-eeas-sanctions.6650,IR,2018-05-01 01:10:08.241410,2018-04-12 07:36:36.648048
GNB,eu-eeas-sanctions.7041,GW,2018-05-01 01:10:10.063967,2018-04-12 07:36:41.315199
GNB,eu-eeas-sanctions.7048,GW,2018-05-01 01:10:10.460370,2018-04-12 07:36:45.274488
PAK,eu-eeas-sanctions.7237,PK,2018-05-01 01:10:12.653412,2018-04-12 07:36:46.747403
LBY,eu-eeas-sanctions.7262,LY,2018-05-01 01:10:12.741754,2018-04-12 07:37:36.716423
SAU,eu-eeas-sanctions.7446,SA,2018-05-01 01:10:14.951229,2018-04-12 07:37:44.829054
FRA,eu-eeas-sanctions.7486,FR,2018-05-01 01:10:15.631075,2018-04-12 07:37:43.694915
AFG,eu-eeas-sanctions.7492,AF,2018-05-01 01:10:15.864978,2018-04-12 07:37:45.436933
GEO,eu-eeas-sanctions.7549,GE,2018-05-01 01:10:17.102660,2018-04-12 07:37:52.760233
BDI,eu-eeas-sanctions.106463,BI,2018-05-01 01:10:17.974614,2018-04-12 07:37:50.154422
AFG,eu-eeas-sanctions.709,AF,2018-05-01 01:09:46.013157,2018-04-12 07:35:45.806771
AFG,eu-eeas-sanctions.739,AF,2018-05-01 01:09:47.238767,2018-04-12 07:35:47.589900
AFG,eu-eeas-sanctions.724,AF,2018-05-01 01:09:49.155673,2018-04-12 07:35:51.292751
AFG,eu-eeas-sanctions.758,AF,2018-05-01 01:09:49.722705,2018-04-12 07:35:46.856751
AFG,eu-eeas-sanctions.794,AF,2018-05-01 01:09:50.097620,2018-04-12 07:35:47.231531
GBR,eu-eeas-sanctions.926,GB,2018-05-01 01:09:50.998110,2018-04-12 07:35:49.490224
MAR,eu-eeas-sanctions.968,MA,2018-05-01 01:09:55.654936,2018-04-12 07:35:48.834268
DZA,eu-eeas-sanctions.1082,DZ,2018-05-01 01:09:55.830509,2018-04-12 07:35:50.017816
PAK,eu-eeas-sanctions.1065,PK,2018-05-01 01:09:56.127759,2018-04-12 07:35:51.695311
KWT,eu-eeas-sanctions.1100,KW,2018-05-01 01:09:59.166671,2018-04-12 07:35:51.009115
IRQ,eu-eeas-sanctions.3080,IQ,2018-05-01 01:09:59.183182,2018-04-12 07:35:55.486781
IRQ,eu-eeas-sanctions.2205,IQ,2018-05-01 01:09:59.199947,2018-04-12 07:35:54.501725
GBR,eu-eeas-sanctions.3700,GB,2018-05-01 01:10:00.059360,2018-04-12 07:35:59.137392
COD,eu-eeas-sanctions.3182,CD,2018-05-01 01:10:00.300996,2018-04-12 07:35:56.625604
LBY,eu-eeas-sanctions.3962,LY,2018-05-01 01:10:01.082093,2018-04-12 07:35:59.145570
COD,eu-eeas-sanctions.3194,CD,2018-05-01 01:10:01.157345,2018-04-12 07:35:56.867404
PHL,eu-eeas-sanctions.5264,PH,2018-05-01 01:10:02.183500,2018-04-12 07:36:16.977214
RWA,eu-eeas-sanctions.5422,RW,2018-05-01 01:10:02.734059,2018-04-12 07:36:18.361066
RWA,eu-eeas-sanctions.5420,RW,2018-05-01 01:10:02.820455,2018-04-12 07:36:11.972216
SOM,eu-eeas-sanctions.5621,SO,2018-05-01 01:10:04.093639,2018-04-12 07:36:19.385699
AFG,eu-eeas-sanctions.5793,AF,2018-05-01 01:10:04.401964,2018-04-12 07:36:16.977358
TUN,eu-eeas-sanctions.6085,TN,2018-05-01 01:10:04.768813,2018-04-12 07:36:18.752268
TUN,eu-eeas-sanctions.6053,TN,2018-05-01 01:10:05.011160,2018-04-12 07:36:19.514414
TUN,eu-eeas-sanctions.6069,TN,2018-05-01 01:10:05.314536,2018-04-12 07:36:25.089494
IRN,eu-eeas-sanctions.6648,IR,2018-05-01 01:10:08.416679,2018-04-12 07:36:37.548313
GNB,eu-eeas-sanctions.7047,GW,2018-05-01 01:10:10.368328,2018-04-12 07:36:41.324257
AFG,eu-eeas-sanctions.7064,AF,2018-05-01 01:10:10.943983,2018-04-12 07:36:42.171017
SYR,eu-eeas-sanctions.7246,SY,2018-05-01 01:10:13.375140,2018-04-12 07:37:48.137685
IRQ,eu-eeas-sanctions.7482,IQ,2018-05-01 01:10:15.272497,2018-04-12 07:37:52.430115
DEU,eu-eeas-sanctions.7581,DE,2018-05-01 01:10:16.990172,2018-04-12 07:37:48.205987
TUN,eu-eeas-sanctions.7602,TN,2018-05-01 01:10:17.577930,2018-04-12 07:37:54.968901
GBR,eu-eeas-sanctions.106532,GB,2018-05-01 01:10:17.694539,2018-04-12 07:37:51.110317
QAT,eu-eeas-sanctions.106385,QA,2018-05-01 01:10:17.803081,2018-04-12 07:37:56.035463
PRK,eu-eeas-sanctions.107834,KP,2018-05-01 01:10:18.849994,2018-04-12 07:37:52.543514
FRA,eu-eeas-sanctions.107697,FR,2018-05-01 01:10:18.937308,2018-04-12 07:37:52.793291
AFG,eu-eeas-sanctions.711,AF,2018-05-01 01:09:46.196688,2018-04-12 07:35:46.731511
AFG,eu-eeas-sanctions.733,AF,2018-05-01 01:09:48.113770,2018-04-12 07:35:46.515253
AFG,eu-eeas-sanctions.840,AF,2018-05-01 01:09:50.547507,2018-04-12 07:35:49.131734
AFG,eu-eeas-sanctions.765,AF,2018-05-01 01:09:53.423626,2018-04-12 07:35:47.590831
TUN,eu-eeas-sanctions.1095,TN,2018-05-01 01:09:53.557948,2018-04-12 07:35:50.967410
IRQ,eu-eeas-sanctions.1880,IQ,2018-05-01 01:09:53.816520,2018-04-12 07:35:53.526383
EGY,eu-eeas-sanctions.931,EG,2018-05-01 01:09:54.042008,2018-04-12 07:35:49.358974
AFG,eu-eeas-sanctions.786,AF,2018-05-01 01:09:54.075483,2018-04-12 07:35:46.715455
PHL,eu-eeas-sanctions.1040,PH,2018-05-01 01:09:54.251349,2018-04-12 07:35:50.473888
PHL,eu-eeas-sanctions.1071,PH,2018-05-01 01:09:56.127697,2018-04-12 07:35:51.599002
AFG,eu-eeas-sanctions.851,AF,2018-05-01 01:09:56.255781,2018-04-12 07:35:48.923396
TUN,eu-eeas-sanctions.1084,TN,2018-05-01 01:09:58.341359,2018-04-12 07:35:52.200947
IRQ,eu-eeas-sanctions.3000,IQ,2018-05-01 01:09:59.199870,2018-04-12 07:35:56.128191
IRQ,eu-eeas-sanctions.2194,IQ,2018-05-01 01:09:59.199942,2018-04-12 07:35:54.583099
IRQ,eu-eeas-sanctions.1898,IQ,2018-05-01 01:09:59.758881,2018-04-12 07:35:51.500994
EGY,eu-eeas-sanctions.3144,EG,2018-05-01 01:09:59.880585,2018-04-12 07:35:56.324963
PHL,eu-eeas-sanctions.5266,PH,2018-05-01 01:10:01.796488,2018-04-12 07:36:09.521333
TUN,eu-eeas-sanctions.6051,TN,2018-05-01 01:10:04.910570,2018-04-12 07:36:23.089785
TUN,eu-eeas-sanctions.6067,TN,2018-05-01 01:10:05.272848,2018-04-12 07:36:18.847442
TUN,eu-eeas-sanctions.6083,TN,2018-05-01 01:10:05.489759,2018-04-12 07:36:19.869224
TUN,eu-eeas-sanctions.6059,TN,2018-05-01 01:10:06.232243,2018-04-12 07:36:17.380412
IRN,eu-eeas-sanctions.6694,IR,2018-05-01 01:10:08.929688,2018-04-12 07:36:36.973193
PAK,eu-eeas-sanctions.6948,PK,2018-05-01 01:10:10.318414,2018-04-12 07:36:44.257592
GNB,eu-eeas-sanctions.7043,GW,2018-05-01 01:10:10.327599,2018-04-12 07:36:45.163033
