country_name,entity_id,country_code,__last_seen,__first_seen
Afghanistan,un-sc-sanctions.110965,AF,2018-05-01 01:05:21.352651,2018-04-12 07:33:21.041375
Mauritania,un-sc-sanctions.2974555,MR,2018-05-01 01:05:21.744330,2018-04-12 07:33:20.608119
Afghanistan,un-sc-sanctions.111080,AF,2018-05-01 01:05:22.194833,2018-04-12 07:33:24.400644
Afghanistan,un-sc-sanctions.2983791,AF,2018-05-01 01:05:21.561035,2018-04-12 07:33:20.816153
Afghanistan,un-sc-sanctions.111206,AF,2018-05-01 01:05:21.736281,2018-04-12 07:33:21.324875
Afghanistan,un-sc-sanctions.111151,AF,2018-05-01 01:05:21.919607,2018-04-12 07:33:21.549921
Democratic People's Republic of Korea,un-sc-sanctions.6908501,KP,2018-05-01 01:05:22.319788,2018-04-12 07:33:22.200314
Indonesia,un-sc-sanctions.6908446,ID,2018-05-01 01:05:22.320107,2018-04-12 07:33:22.174947
Algeria,un-sc-sanctions.113322,DZ,2018-05-01 01:05:21.811193,2018-04-12 07:33:20.917834
Philippines,un-sc-sanctions.2813362,PH,2018-05-01 01:05:22.770155,2018-04-12 07:33:25.175821
Pakistan,un-sc-sanctions.113440,PK,2018-05-01 01:05:23.020460,2018-04-12 07:33:25.659480
Afghanistan,un-sc-sanctions.111209,AF,2018-05-01 01:05:21.661006,2018-04-12 07:33:21.591898
Egypt,un-sc-sanctions.111782,EG,2018-05-01 01:05:22.386589,2018-04-12 07:33:21.583005
Democratic People's Republic of Korea,un-sc-sanctions.6908593,KP,2018-05-01 01:05:23.837545,2018-04-12 07:33:51.746310
Pakistan,un-sc-sanctions.2833107,PK,2018-05-01 01:05:22.011048,2018-04-12 07:33:21.033215
Egypt,un-sc-sanctions.6908535,EG,2018-05-01 01:05:22.503091,2018-04-12 07:33:21.616555
Afghanistan,un-sc-sanctions.111497,AF,2018-05-01 01:05:21.519449,2018-04-12 07:33:21.458669
Democratic People's Republic of Korea,un-sc-sanctions.6908588,KP,2018-05-01 01:05:22.195024,2018-04-12 07:33:20.916123
Nigeria,un-sc-sanctions.6908425,NG,2018-05-01 01:05:22.019638,2018-04-12 07:33:21.791691
Afghanistan,un-sc-sanctions.3035783,AF,2018-05-01 01:05:22.478254,2018-04-12 07:33:25.467784
Afghanistan,un-sc-sanctions.111149,AF,2018-05-01 01:05:22.303425,2018-04-12 07:33:22.174887
Democratic People's Republic of Korea,un-sc-sanctions.6908645,KP,2018-05-01 01:05:22.578271,2018-04-12 07:33:25.634088
Democratic People's Republic of Korea,un-sc-sanctions.690741,KP,2018-05-01 01:05:23.137104,2018-04-12 07:33:52.771958
Russian Federation,un-sc-sanctions.6908548,RU,2018-05-01 01:05:23.646042,2018-04-12 07:33:42.936262
Democratic People's Republic of Korea,un-sc-sanctions.6908512,KP,2018-05-01 01:05:22.495034,2018-04-12 07:33:23.358757
Democratic People's Republic of Korea,un-sc-sanctions.6908505,KP,2018-05-01 01:05:23.020380,2018-04-12 07:33:52.579869
Democratic People's Republic of Korea,un-sc-sanctions.6908640,KP,2018-05-01 01:05:23.295473,2018-04-12 07:33:21.458312
United States of America,un-sc-sanctions.113328,US,2018-05-01 01:05:23.311961,2018-04-12 07:33:52.071320
Democratic People's Republic of Korea,un-sc-sanctions.6908590,KP,2018-05-01 01:05:23.420546,2018-04-12 07:33:25.176206
Democratic People's Republic of Korea,un-sc-sanctions.6908615,KP,2018-05-01 01:05:23.145373,2018-04-12 07:33:21.324814
Democratic Republic of the Congo,un-sc-sanctions.6908020,CD,2018-05-01 01:05:22.103182,2018-04-12 07:33:22.608981
Democratic People's Republic of Korea,un-sc-sanctions.6908655,KP,2018-05-01 01:05:22.311552,2018-04-12 07:33:21.857954
Afghanistan,un-sc-sanctions.111039,AF,2018-05-01 01:05:23.295431,2018-04-12 07:33:52.421654
Malaysia,un-sc-sanctions.113439,MY,2018-05-01 01:05:23.328683,2018-04-12 07:33:22.074844
USSR (until 1991),un-sc-sanctions.2960872,,2018-05-01 01:05:23.662507,2018-04-12 07:33:26.401130
Tunisia,un-sc-sanctions.2758395,TN,2018-05-01 01:05:21.944906,2018-04-12 07:33:21.133005
Tunisia,un-sc-sanctions.113317,TN,2018-05-01 01:05:22.211529,2018-04-12 07:33:21.866696
Indonesia,un-sc-sanctions.113220,ID,2018-05-01 01:05:22.953639,2018-04-12 07:33:21.791390
Iraq,un-sc-sanctions.6908056,IQ,2018-05-01 01:05:23.220426,2018-04-12 07:33:56.788613
Democratic People's Republic of Korea,un-sc-sanctions.690739,KP,2018-05-01 01:05:22.194990,2018-04-12 07:33:22.067088
Iran (Islamic Republic of),un-sc-sanctions.110406,IR,2018-05-01 01:05:22.837187,2018-04-12 07:33:22.833451
Afghanistan,un-sc-sanctions.111107,AF,2018-05-01 01:05:22.862001,2018-04-12 07:33:51.596681
Philippines,un-sc-sanctions.2813148,PH,2018-05-01 01:05:22.119957,2018-04-12 07:33:21.474492
Democratic People's Republic of Korea,un-sc-sanctions.6908566,KP,2018-05-01 01:05:01.334589,2018-04-12 07:32:46.945558
Afghanistan,un-sc-sanctions.111301,AF,2018-05-01 01:05:02.828063,2018-04-12 07:32:50.621372
Afghanistan,un-sc-sanctions.111239,AF,2018-05-01 01:05:03.503559,2018-04-12 07:32:51.089047
Egypt,un-sc-sanctions.111641,EG,2018-05-01 01:05:04.804948,2018-04-12 07:32:51.304229
Iraq,un-sc-sanctions.6908076,IQ,2018-05-01 01:05:05.105220,2018-04-12 07:32:52.696043
Iraq,un-sc-sanctions.6908119,IQ,2018-05-01 01:05:06.124351,2018-04-12 07:32:58.446563
Qatar,un-sc-sanctions.6908472,QA,2018-05-01 01:05:06.591360,2018-04-12 07:33:00.661939
Kuwait,un-sc-sanctions.6908471,KW,2018-05-01 01:05:07.550619,2018-04-12 07:33:01.987897
Iraq,un-sc-sanctions.6908069,IQ,2018-05-01 01:05:07.792010,2018-04-12 07:33:02.579297
Iraq,un-sc-sanctions.6908050,IQ,2018-05-01 01:05:08.067759,2018-04-12 07:33:02.971696
Iraq,un-sc-sanctions.6908068,IQ,2018-05-01 01:05:08.159526,2018-04-12 07:33:02.404110
Kuwait,un-sc-sanctions.6908398,KW,2018-05-01 01:05:08.617803,2018-04-12 07:33:04.430045
Afghanistan,un-sc-sanctions.111303,AF,2018-05-01 01:05:09.459887,2018-04-12 07:33:05.129489
Egypt,un-sc-sanctions.111923,EG,2018-05-01 01:05:10.035435,2018-04-12 07:33:05.506739
Indonesia,un-sc-sanctions.2983638,ID,2018-05-01 01:05:10.043905,2018-04-12 07:33:07.228077
Pakistan,un-sc-sanctions.2832890,PK,2018-05-01 01:05:10.318722,2018-04-12 07:33:05.896884
Germany,un-sc-sanctions.112030,DE,2018-05-01 01:05:10.844681,2018-04-12 07:33:07.869826
Morocco,un-sc-sanctions.112030,MA,2018-05-01 01:05:10.861239,2018-04-12 07:33:07.887428
Democratic People's Republic of Korea,un-sc-sanctions.6908650,KP,2018-05-01 01:05:11.603249,2018-04-12 07:33:07.878785
Libya,un-sc-sanctions.6908468,LY,2018-05-01 01:05:11.619849,2018-04-12 07:33:08.530022
Democratic People's Republic of Korea,un-sc-sanctions.6908617,KP,2018-05-01 01:05:11.995285,2018-04-12 07:33:09.330278
Pakistan,un-sc-sanctions.2999482,PK,2018-05-01 01:05:13.070798,2018-04-12 07:33:08.646311
Indonesia,un-sc-sanctions.6908543,ID,2018-05-01 01:05:13.454554,2018-04-12 07:33:10.389339
Egypt,un-sc-sanctions.112040,EG,2018-05-01 01:05:13.829968,2018-04-12 07:33:09.555444
Afghanistan,un-sc-sanctions.2960150,AF,2018-05-01 01:05:14.263305,2018-04-12 07:33:11.198107
Afghanistan,un-sc-sanctions.111040,AF,2018-05-01 01:05:02.168684,2018-04-12 07:32:48.296249
Democratic People's Republic of Korea,un-sc-sanctions.6908568,KP,2018-05-01 01:05:02.360851,2018-04-12 07:32:46.645535
Afghanistan,un-sc-sanctions.110964,AF,2018-05-01 01:05:02.728128,2018-04-12 07:32:47.653700
Afghanistan,un-sc-sanctions.111204,AF,2018-05-01 01:05:04.279225,2018-04-12 07:32:50.762543
Bahrain (citizenship revoked in Jan. 2015),un-sc-sanctions.6908541,,2018-05-01 01:05:04.704701,2018-04-12 07:32:52.494974
Iraq,un-sc-sanctions.6908123,IQ,2018-05-01 01:05:04.988157,2018-04-12 07:32:54.021062
Iraq,un-sc-sanctions.6908065,IQ,2018-05-01 01:05:05.012977,2018-04-12 07:33:00.764134
Iraq,un-sc-sanctions.6908055,IQ,2018-05-01 01:05:07.058666,2018-04-12 07:33:01.662800
Egypt,un-sc-sanctions.3026942,EG,2018-05-01 01:05:07.091541,2018-04-12 07:33:15.448494
Iraq,un-sc-sanctions.6908085,IQ,2018-05-01 01:05:07.667234,2018-04-12 07:33:02.237215
Yemen,un-sc-sanctions.2903810,YE,2018-05-01 01:05:07.708828,2018-04-12 07:33:02.562428
Iraq,un-sc-sanctions.6908105,IQ,2018-05-01 01:05:07.875456,2018-04-12 07:33:02.396457
Somalia,un-sc-sanctions.6908035,SO,2018-05-01 01:05:08.525951,2018-04-12 07:33:04.396076
Yemen,un-sc-sanctions.6908577,YE,2018-05-01 01:05:09.243087,2018-04-12 07:33:05.949082
Iraq,un-sc-sanctions.6908086,IQ,2018-05-01 01:05:09.251702,2018-04-12 07:33:05.263133
Algeria,un-sc-sanctions.6908423,DZ,2018-05-01 01:05:10.360601,2018-04-12 07:33:05.932238
Philippines,un-sc-sanctions.2813253,PH,2018-05-01 01:05:10.994602,2018-04-12 07:33:07.311206
Algerian,un-sc-sanctions.2902221,DZ,2018-05-01 01:05:11.878306,2018-04-12 07:33:07.945536
Democratic People's Republic of Korea,un-sc-sanctions.6908646,KP,2018-05-01 01:05:12.086756,2018-04-12 07:33:08.178939
Guinea-Bissau,un-sc-sanctions.690789,GW,2018-05-01 01:05:12.178615,2018-04-12 07:33:08.554450
Germany,un-sc-sanctions.2982105,DE,2018-05-01 01:05:12.312014,2018-04-12 07:33:08.696052
Morocco,un-sc-sanctions.2982105,MA,2018-05-01 01:05:12.328680,2018-04-12 07:33:08.712755
Afghanistan,un-sc-sanctions.111211,AF,2018-05-01 01:05:12.428858,2018-04-12 07:33:09.047438
Democratic People's Republic of Korea,un-sc-sanctions.690750,KP,2018-05-01 01:05:12.586940,2018-04-12 07:33:08.020309
Somalia,un-sc-sanctions.112035,SO,2018-05-01 01:05:12.611728,2018-04-12 07:33:11.072411
France,un-sc-sanctions.112038,FR,2018-05-01 01:05:13.204254,2018-04-12 07:33:11.972485
Iraq,un-sc-sanctions.6908114,IQ,2018-05-01 01:05:14.663648,2018-04-12 07:33:12.831594
Tunisia,un-sc-sanctions.112033,TN,2018-05-01 01:05:14.746958,2018-04-12 07:33:11.180962
Iraq,un-sc-sanctions.6908129,IQ,2018-05-01 01:05:15.189892,2018-04-12 07:33:15.714784
Indonesia,un-sc-sanctions.6908545,ID,2018-05-01 01:05:15.364868,2018-04-12 07:33:13.538245
Iraq,un-sc-sanctions.6908066,IQ,2018-05-01 01:05:15.782133,2018-04-12 07:33:14.006769
Democratic People's Republic of Korea,un-sc-sanctions.6908647,KP,2018-05-01 01:05:15.982191,2018-04-12 07:33:13.464512
Democratic People's Republic of Korea,un-sc-sanctions.6908573,KP,2018-05-01 01:05:01.668146,2018-04-12 07:32:46.653814
