country_name,entity_id,country_code,__last_seen,__first_seen
Tunisian,gb-hmt-sanctions.11614,TN,2018-04-26 12:44:16.231208,2018-04-12 08:16:42.086677
Moroccan,gb-hmt-sanctions.7131,MA,2018-04-26 12:45:05.152733,2018-04-12 08:18:20.894839
Afghan,gb-hmt-sanctions.7160,,2018-04-26 12:45:07.196730,2018-04-12 08:18:18.940781
Afghan,gb-hmt-sanctions.7157,,2018-04-26 12:45:07.255167,2018-04-12 08:18:22.177930
Afghan,gb-hmt-sanctions.11634,,2018-04-26 12:44:20.632338,2018-04-12 08:16:40.877938
Afghan,gb-hmt-sanctions.7281,,2018-04-26 12:45:14.519053,2018-04-12 08:18:29.547214
North Korean,gb-hmt-sanctions.13338,KP,2018-04-26 12:44:50.032109,2018-04-12 08:17:38.634691
Algerian,gb-hmt-sanctions.11097,DZ,2018-04-26 12:44:16.324645,2018-04-12 08:16:31.199397
Pakistani,gb-hmt-sanctions.9215,PK,2018-04-26 12:44:20.873989,2018-04-12 08:16:33.826885
,gb-hmt-sanctions.13350,,2018-04-26 12:44:51.061098,2018-04-12 08:17:46.827980
DPRK,gb-hmt-sanctions.13574,KP,2018-04-26 12:45:03.015113,2018-04-12 08:18:15.065060
Afghan,gb-hmt-sanctions.7169,,2018-04-26 12:45:04.911123,2018-04-12 08:18:23.248382
Egyptian,gb-hmt-sanctions.7016,EG,2018-04-26 12:45:05.269385,2018-04-12 08:18:20.927740
Afghan,gb-hmt-sanctions.7379,,2018-04-26 12:45:10.146273,2018-04-12 08:18:26.975942
Iraq,gb-hmt-sanctions.7580,IQ,2018-04-26 12:45:15.489561,2018-04-12 08:18:34.176448
Malaysian,gb-hmt-sanctions.7846,MY,2018-04-26 12:45:16.097864,2018-04-12 08:18:32.380781
Iraq,gb-hmt-sanctions.7616,IQ,2018-04-26 12:45:17.265745,2018-04-12 08:18:28.608716
Egypt,gb-hmt-sanctions.7865,EG,2018-04-26 12:45:18.406958,2018-04-12 08:18:35.727046
Kuwaiti citizenship withdrawn in 2002,gb-hmt-sanctions.7996,,2018-04-26 12:45:21.545074,2018-04-12 08:18:51.226363
Tunisian,gb-hmt-sanctions.11612,TN,2018-04-26 12:44:17.706751,2018-04-12 08:16:36.768565
Afghan,gb-hmt-sanctions.11633,,2018-04-26 12:44:24.109200,2018-04-12 08:16:42.761807
Moroccan,gb-hmt-sanctions.13316,MA,2018-04-26 12:44:49.470156,2018-04-12 08:17:43.949968
North Korean,gb-hmt-sanctions.13336,KP,2018-04-26 12:44:53.874202,2018-04-12 08:17:52.175849
Democratic Peoples Republic of Korea,gb-hmt-sanctions.13479,,2018-04-26 12:44:54.574693,2018-04-12 08:17:43.018541
DPRK,gb-hmt-sanctions.13414,KP,2018-04-26 12:45:00.874085,2018-04-12 08:17:54.034782
 Palestinian,gb-hmt-sanctions.6998,,2018-04-26 12:45:04.633406,2018-04-12 08:18:17.882417
Kuwaiti citizenship,gb-hmt-sanctions.6994,,2018-04-26 12:45:07.462755,2018-04-12 08:18:17.514833
Iraqi,gb-hmt-sanctions.8696,IQ,2018-04-26 12:44:19.567151,2018-04-12 08:16:27.348810
Afghan,gb-hmt-sanctions.6916,,2018-04-26 12:45:07.620896,2018-04-12 08:18:17.349312
Mauritanian,gb-hmt-sanctions.6928,,2018-04-26 12:45:07.987826,2018-04-12 08:18:15.548647
Afghan,gb-hmt-sanctions.7380,,2018-04-26 12:45:09.338945,2018-04-12 08:18:54.385337
Afghan,gb-hmt-sanctions.7257,,2018-04-26 12:45:09.713852,2018-04-12 08:18:25.074911
Iraq,gb-hmt-sanctions.7591,IQ,2018-04-26 12:45:11.788432,2018-04-12 08:18:26.028849
Afghan,gb-hmt-sanctions.7442,,2018-04-26 12:45:17.369475,2018-04-12 08:18:23.453467
Iraq,gb-hmt-sanctions.7625,IQ,2018-04-26 12:45:15.681018,2018-04-12 08:18:27.351252
Libyan,gb-hmt-sanctions.13275,LY,2018-04-26 12:44:44.730818,2018-04-12 08:17:37.965484
Afghan,gb-hmt-sanctions.7449,,2018-04-26 12:45:19.699498,2018-04-12 08:18:23.766313
 Somali (2,gb-hmt-sanctions.10929,,2018-04-26 12:44:17.339953,2018-04-12 08:16:29.108356
Afghan,gb-hmt-sanctions.11205,,2018-04-26 12:44:17.391430,2018-04-12 08:16:28.764854
 Swedish,gb-hmt-sanctions.10929,SE,2018-04-26 12:44:17.400941,2018-04-12 08:16:29.170737
Saudi Arabian,gb-hmt-sanctions.13084,SA,2018-04-26 12:44:47.310155,2018-04-12 08:17:27.232565
German,gb-hmt-sanctions.13227,DE,2018-04-26 12:44:48.436552,2018-04-12 08:17:31.362720
Tajikistan,gb-hmt-sanctions.13313,TJ,2018-04-26 12:44:51.683370,2018-04-12 08:17:38.499430
Congolese,gb-hmt-sanctions.11278,CD,2018-04-26 12:44:20.218081,2018-04-12 08:16:39.661253
Tunisian,gb-hmt-sanctions.11595,TN,2018-04-26 12:44:21.180829,2018-04-12 08:16:36.958697
North Korean,gb-hmt-sanctions.13335,KP,2018-04-26 12:44:54.296608,2018-04-12 08:17:37.914125
DPRK,gb-hmt-sanctions.13571,KP,2018-04-26 12:44:58.564424,2018-04-12 08:18:13.683454
Rwandan,gb-hmt-sanctions.11277,RW,2018-04-26 12:44:21.351017,2018-04-12 08:16:35.150282
Indonesian,gb-hmt-sanctions.13244,ID,2018-04-26 12:45:00.385047,2018-04-12 08:17:33.191433
DPRK,gb-hmt-sanctions.13419,KP,2018-04-26 12:45:00.577586,2018-04-12 08:17:48.942073
DPRK,gb-hmt-sanctions.13565,KP,2018-04-26 12:45:02.193594,2018-04-12 08:18:13.279921
Tunisian,gb-hmt-sanctions.11613,TN,2018-04-26 12:44:15.856207,2018-04-12 08:16:44.754223
Afghan,gb-hmt-sanctions.6905,,2018-04-26 12:45:04.007620,2018-04-12 08:18:15.893691
Afghan,gb-hmt-sanctions.7329,,2018-04-26 12:45:09.571425,2018-04-12 08:18:25.267037
Afghan,gb-hmt-sanctions.7481,,2018-04-26 12:45:10.725455,2018-04-12 08:18:54.881015
Iraq,gb-hmt-sanctions.7624,IQ,2018-04-26 12:45:12.200850,2018-04-12 08:18:25.791625
Iraq,gb-hmt-sanctions.7592,IQ,2018-04-26 12:45:12.963293,2018-04-12 08:18:27.538307
Saudi Arabian,gb-hmt-sanctions.9166,SA,2018-04-26 12:44:22.118681,2018-04-12 08:16:26.795304
Afghan,gb-hmt-sanctions.7417,,2018-04-26 12:45:13.302086,2018-04-12 08:18:26.102569
