country_name,entity_id,country_code,__last_seen,__first_seen
Algerian,ua-sdfm-blacklist.125,DZ,2018-04-26 08:30:12.222614,2018-04-12 07:32:16.614766
Afghan  ,ua-sdfm-blacklist.228,,2018-04-26 08:30:13.811065,2018-04-12 07:32:20.533420
Tunisian  ,ua-sdfm-blacklist.205,TN,2018-04-26 08:30:14.403196,2018-04-12 07:32:20.705298
Afghan,ua-sdfm-blacklist.252,,2018-04-26 08:30:14.666533,2018-04-12 07:32:22.580782
Afghan,ua-sdfm-blacklist.285,,2018-04-26 08:30:14.796243,2018-04-12 07:32:24.297634
Afghan,ua-sdfm-blacklist.211,,2018-04-26 08:30:14.979521,2018-04-12 07:32:20.974934
Afghan,ua-sdfm-blacklist.289,,2018-04-26 08:30:15.108018,2018-04-12 07:32:26.950219
Afghan,ua-sdfm-blacklist.243,,2018-04-26 08:30:15.408413,2018-04-12 07:32:21.725180
Afghan ,ua-sdfm-blacklist.297,,2018-04-26 08:30:15.425373,2018-04-12 07:32:28.022352
Afghan,ua-sdfm-blacklist.312,,2018-04-26 08:30:15.666661,2018-04-12 07:32:28.739338
Afghan,ua-sdfm-blacklist.322,,2018-04-26 08:30:16.015668,2018-04-12 07:32:28.915078
Afghan,ua-sdfm-blacklist.301,,2018-04-26 08:30:16.017173,2018-04-12 07:32:28.275406
Tunisian,ua-sdfm-blacklist.351,TN,2018-04-26 08:30:16.488800,2018-04-12 07:32:30.200733
Tunisian,ua-sdfm-blacklist.358,TN,2018-04-26 08:30:16.767582,2018-04-12 07:32:31.215018
British  ,ua-sdfm-blacklist.441,GB,2018-04-26 08:30:18.500315,2018-04-12 07:32:33.223052
Egyptian  ,ua-sdfm-blacklist.470,EG,2018-04-26 08:30:18.693026,2018-04-12 07:32:34.084781
Indonesian,ua-sdfm-blacklist.505,ID,2018-04-26 08:30:19.918239,2018-04-12 07:32:35.693994
Iraq,ua-sdfm-blacklist.795,IQ,2018-04-26 08:30:22.402735,2018-04-12 07:32:50.954314
Iraq,ua-sdfm-blacklist.787,IQ,2018-04-26 08:30:22.401749,2018-04-12 07:32:50.529136
Iraq,ua-sdfm-blacklist.794,IQ,2018-04-26 08:30:22.411082,2018-04-12 07:32:50.770705
Iraq,ua-sdfm-blacklist.792,IQ,2018-04-26 08:30:22.577739,2018-04-12 07:32:50.653967
Iraq ,ua-sdfm-blacklist.825,IQ,2018-04-26 08:30:23.185379,2018-04-12 07:32:52.812545
