last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
,2018-04-26 10:54:47.105079,, 7 Sep 2016	 ,,us-cia-world-leaders.a6a3b21137f25c801aefad07b350d37354606b18,,,us-cia-world-leaders,Albania,individual,Pres.,,Bujar NISHANI,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:59.000014
,2018-04-26 10:54:47.457417,, 7 Sep 2016	 ,,us-cia-world-leaders.6f9924f121dcf15b9d0c253a783f71c416291989,,,us-cia-world-leaders,Albania,individual,Dep. Prime Min.,,Niko PELESHI,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:58.808230
,2018-04-26 10:54:47.490252,, 23 Sep 2013	 ,,us-cia-world-leaders.dd0f3ee6b29d4fb94610904c232974af318faa87,,,us-cia-world-leaders,"Bahamas, The",individual,Min. of the Environment & Housing,,Kendred DORSETT,https://www.cia.gov/library/publications/resources/world-leaders-1/BF.html,,,,2018-04-12 08:15:10.019041
,2018-04-26 10:54:47.532518,, 27 Jan 2017	 ,,us-cia-world-leaders.ba17ee866b2f13cae47ba5037a386dc4c14985df,,,us-cia-world-leaders,Austria,individual,Pres.,,Alexander VAN DER BELLEN,https://www.cia.gov/library/publications/resources/world-leaders-1/AU.html,,,,2018-04-12 08:15:00.468111
,2018-04-26 10:54:47.573882,, 7 Sep 2016	 ,,us-cia-world-leaders.e15e2336395980c895d608454af9629e2994bf04,,,us-cia-world-leaders,Albania,individual,Min. of Foreign Affairs,,Ditmir BUSHATI,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:59.113820
,2018-04-26 10:54:47.796535,, 7 Sep 2016	 ,,us-cia-world-leaders.cba5ff2b460f22576c71e2d56183f69261ce79e1,,,us-cia-world-leaders,Albania,individual,Min. of Transport & Infrastructure,,Edmond HAXHINASTO,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:59.002364
,2018-04-26 10:54:49.282773,, 6 Aug 2015	 ,,us-cia-world-leaders.89dc35e301892d48d367f6639d379c30937a1dc6,,,us-cia-world-leaders,Algeria,individual,Min. of Energy,,Salah KHEBRI,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,,2018-04-12 08:15:01.654264
,2018-04-26 10:54:49.425278,, 11 Mar 2016	 ,,us-cia-world-leaders.667fed2a8669f2e63196ba2df8cca22879e7d959,,,us-cia-world-leaders,Belize,individual,Min. of Tourism & Civil Aviation,,"Jose Manuel HEREDIA , Jr.",https://www.cia.gov/library/publications/resources/world-leaders-1/BH.html,,,,2018-04-12 08:14:59.309537
,2018-04-26 10:54:49.819559,, 15 Sep 2016	 ,,us-cia-world-leaders.ac0afb3b1be6dcdc25224d8dd479e3802c44a7e1,,,us-cia-world-leaders,Belgium,individual,Dep. Prime Min.,,Jan JAMBON,https://www.cia.gov/library/publications/resources/world-leaders-1/BE.html,,,,2018-04-12 08:15:16.219824
,2018-04-26 10:54:49.866120,, 29 Dec 2016	 ,,us-cia-world-leaders.f3ec22e89aad4f2e32b370b7834c283c06eb1325,,,us-cia-world-leaders,Armenia,individual,Min. of Defense,,Vigen SARGSYAN,https://www.cia.gov/library/publications/resources/world-leaders-1/AM.html,,,,2018-04-12 08:15:12.435487
,2018-04-26 10:54:50.093383,, 29 Nov 2016	 ,,us-cia-world-leaders.17b5fed4c6465b6fdf78d9b3bd6833b1a9c6fe56,,,us-cia-world-leaders,Brazil,individual,Min. of Justice & Citizenship,,Alexandre DE MORAES,https://www.cia.gov/library/publications/resources/world-leaders-1/BR.html,,,,2018-04-12 08:15:32.294861
,2018-04-26 10:54:50.783434,, 12 Dec 2016	 ,,us-cia-world-leaders.957d3830abf01cdea7908ffba5f259d5ef415cfb,,,us-cia-world-leaders,Canada,individual,"Pres., Treasury Board",,Scott BRISON,https://www.cia.gov/library/publications/resources/world-leaders-1/CA.html,,,,2018-04-12 08:15:33.591670
,2018-04-26 10:54:51.102688,, 16 Oct 2015	 ,,us-cia-world-leaders.435f9b5e217e58cb005a18a7093ed165bcb0f040,,,us-cia-world-leaders,Cameroon,individual,Min. of Agriculture & Rural Development,,Henri Eyebe AYISSI,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:26.171391
,2018-04-26 10:54:51.353345,, 16 Oct 2015	 ,,us-cia-world-leaders.0c07604f2aac648268b99fcf1cc488e80e9722e6,,,us-cia-world-leaders,Cameroon,individual,Min. of Sports & Physical Education,,Bidoung Mkpatt Pierre ISMAEL,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:26.602286
,2018-04-26 10:54:52.866641,, 17 Jun 2016	 ,,us-cia-world-leaders.6e72a972c4a121f610d30b57e1ccf464bad3279a,,,us-cia-world-leaders,Comoros,individual,"Min. of Interior, Information, Decentralization, Relations with Institutions, & Government Spokesperson",,Mohamed DAOUDOU,https://www.cia.gov/library/publications/resources/world-leaders-1/CN.html,,,,2018-04-12 08:15:26.194441
,2018-04-26 10:54:53.609792,, 5 Jan 2017	 ,,us-cia-world-leaders.563a04b6bc9aeb504dabac7c35de9de38599448f,,,us-cia-world-leaders,Czechia,individual,First Dep. Prime Min. for the Economy,,Andrej BABIS,https://www.cia.gov/library/publications/resources/world-leaders-1/EZ.html,,,,2018-04-12 08:15:35.269134
,2018-04-26 10:54:54.157109,, 15 Jul 2016	 ,,us-cia-world-leaders.59d41bfcf873f95a8675243c3b995dec2aef8133,,,us-cia-world-leaders,Equatorial Guinea,individual,Min. of Internal Affairs & Local Corporations,,Clemente Engonga NGUEMA Onguene,https://www.cia.gov/library/publications/resources/world-leaders-1/EK.html,,,,2018-04-12 08:15:21.192334
,2018-04-26 10:54:55.011638,, 15 Aug 2016	 ,,us-cia-world-leaders.5d0ed37bef11fe973e804b37a40cc7dbd5ded49e,,,us-cia-world-leaders,"Gambia, The",individual,Pres.,,Yahya JAMMEH,https://www.cia.gov/library/publications/resources/world-leaders-1/GA.html,,,,2018-04-12 08:15:43.372530
,2018-04-26 10:54:55.164384,, 15 Aug 2016	 ,,us-cia-world-leaders.a9aab475d2a92d2ad39befc5dd5d1a6c77fde9fa,,,us-cia-world-leaders,"Gambia, The",individual,Min. of Defense,,Yahya JAMMEH,https://www.cia.gov/library/publications/resources/world-leaders-1/GA.html,,,,2018-04-12 08:15:43.961883
,2018-04-26 10:54:55.787386,, 11 Jan 2017	 ,,us-cia-world-leaders.7e92a98d77b7b7ede4fde719481b180d754c114a,,,us-cia-world-leaders,Gabon,individual,"Min. of Family & Social Affairs, Social Insurance, and National Solidarity",,Paul BIYOGHE MBA,https://www.cia.gov/library/publications/resources/world-leaders-1/GB.html,,,,2018-04-12 08:15:37.341879
,2018-04-26 10:54:55.979424,, 11 Jan 2017	 ,,us-cia-world-leaders.78916b25cea517c98db265a864ae28bb1feb14ac,,,us-cia-world-leaders,Gabon,individual,Min. of Youths & Sports,,Nicole ASSELE,https://www.cia.gov/library/publications/resources/world-leaders-1/GB.html,,,,2018-04-12 08:15:37.810483
,2018-04-26 10:54:56.755794,, 23 Mar 2015	 ,,us-cia-world-leaders.70d04643549214c11754b1113e8c03d7d9951ba9,,,us-cia-world-leaders,Grenada,individual,"Min. of National Security, Public Admin., Disaster Management, Home Affairs, Information, & Implementation",,Keith MITCHELL,https://www.cia.gov/library/publications/resources/world-leaders-1/GJ.html,,,,2018-04-12 08:15:28.603774
,2018-04-26 10:54:56.852032,, 26 Jul 2016	 ,,us-cia-world-leaders.2005850cc2a10f79c37cdbedc6affd2bb60b42c0,,,us-cia-world-leaders,Egypt,individual,Min. of Civil Aviation,,Sherif FATHI,https://www.cia.gov/library/publications/resources/world-leaders-1/EG.html,,,,2018-04-12 08:15:43.391908
,2018-04-26 10:54:57.997499,, 15 Aug 2016	 ,,us-cia-world-leaders.258d0d5b7111a7182c4fcbebea50d2b989cb8a5f,,,us-cia-world-leaders,Haiti,individual,Min. of Economy & Finance,,Yves Romain BASTIEN,https://www.cia.gov/library/publications/resources/world-leaders-1/HA.html,,,,2018-04-12 08:15:28.790279
,2018-04-26 10:54:58.047904,, 15 Aug 2016	 ,,us-cia-world-leaders.5ce9fc306b4cd6955b63ca28443e544a2843a611,,,us-cia-world-leaders,Haiti,individual,Min. of Planning & External Cooperation,,Aviol FLEURANT,https://www.cia.gov/library/publications/resources/world-leaders-1/HA.html,,,,2018-04-12 08:15:29.660182
,2018-04-26 10:54:58.731583,, 4 Aug 2016	 ,,us-cia-world-leaders.0f2c18ae84f173e92c7fa3805e62e29191c1d749,,,us-cia-world-leaders,Indonesia,individual,Min. of Religious Affairs,,LUKMAN Hakim Saifuddin,https://www.cia.gov/library/publications/resources/world-leaders-1/ID.html,,,,2018-04-12 08:15:35.025675
,2018-04-26 10:55:01.359603,, 13 May 2016	 ,,us-cia-world-leaders.46d2bfbe82c75ff50189c44decaeed4b90949423,,,us-cia-world-leaders,Ireland,individual,"Min. for Agriculture, Food, & the Marine",,Michael CREED,https://www.cia.gov/library/publications/resources/world-leaders-1/EI.html,,,,2018-04-12 08:15:32.271179
,2018-04-26 10:54:47.291615,, 23 Sep 2013	 ,,us-cia-world-leaders.d32c6ac9d5bc7b446faa87fa3f075681d5d20d80,,,us-cia-world-leaders,"Bahamas, The",individual,"Min. of Agriculture, Marine Resources, & Local Govt.",,Alfred GRAY,https://www.cia.gov/library/publications/resources/world-leaders-1/BF.html,,,,2018-04-12 08:15:10.253343
,2018-04-26 10:54:47.525001,, 7 Sep 2016	 ,,us-cia-world-leaders.faf534c2ac47e75084719da3a6c22904a67fb9ec,,,us-cia-world-leaders,Albania,individual,Min. of Finance,,Arben AHMETAJ,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:59.010892
,2018-04-26 10:54:47.575569,, 7 Sep 2016	 ,,us-cia-world-leaders.0776a62b90f2ec690da9940771f0f7c5562a2eda,,,us-cia-world-leaders,Albania,individual,Min. of Integration,,Klajda GJOSHA,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,,2018-04-12 08:14:59.392862
,2018-04-26 10:54:47.624537,, 23 Sep 2013	 ,,us-cia-world-leaders.1a03659c546d6b396672c8d8aaa05865e87f1a01,,,us-cia-world-leaders,"Bahamas, The",individual,Min. of Works & Urban Development,,Philip DAVIS,https://www.cia.gov/library/publications/resources/world-leaders-1/BF.html,,,,2018-04-12 08:15:10.667763
,2018-04-26 10:54:47.718690,, 23 Sep 2013	 ,,us-cia-world-leaders.643e4570f5a847da7fbd1b0f98a42b61b2253d0b,,,us-cia-world-leaders,"Bahamas, The",individual,"Governor, Central Bank",,Wendy CRAIGG,https://www.cia.gov/library/publications/resources/world-leaders-1/BF.html,,,,2018-04-12 08:15:10.746441
,2018-04-26 10:54:47.819399,, 15 Sep 2016	 ,,us-cia-world-leaders.4e80998e90f6fbd6163fdab1d04021feb13fd1a1,,,us-cia-world-leaders,Angola,individual,Min. of Health,,Jose Vieira DIAS VAN-DUNEM,https://www.cia.gov/library/publications/resources/world-leaders-1/AO.html,,,,2018-04-12 08:14:56.547449
,2018-04-26 10:54:47.968880,, 1 Feb 2017	 ,,us-cia-world-leaders.7569a3e405c525efa0c9d58ce0a276e35b48a8c8,,,us-cia-world-leaders,Australia,individual,Min. for Communications,,"Mitchell Peter ""Mitch"" FIFIELD",https://www.cia.gov/library/publications/resources/world-leaders-1/AS.html,,,,2018-04-12 08:14:59.050677
,2018-04-26 10:54:48.107812,, 1 Feb 2017	 ,,us-cia-world-leaders.82ddafbfc5548f8ab6a0fc53321d0e2b005d3794,,,us-cia-world-leaders,Australia,individual,Min. for Justice,,Michael Fayat KEENAN,https://www.cia.gov/library/publications/resources/world-leaders-1/AS.html,,,,2018-04-12 08:14:59.417550
,2018-04-26 10:54:48.375191,, 24 Jun 2016	 ,,us-cia-world-leaders.545174c0495387c92c27ba86c8c07d341b2a7429,,,us-cia-world-leaders,Afghanistan,individual,Min. of Border & Tribal Affairs,,Mohammad Gulab MANGAL,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:01.344146
,2018-04-26 10:54:48.527283,, 24 Jun 2016	 ,,us-cia-world-leaders.060fcce990f5c4332325102b143c5b2ec4162b5c,,,us-cia-world-leaders,Afghanistan,individual,Min. of Education,,Asadullah HANIF Balkhi,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:01.490984
,2018-04-26 10:54:48.675277,, 24 Jun 2016	 ,,us-cia-world-leaders.e28a0bda778fb7ce093e1192a6984cdf1fb0e6b5,,,us-cia-world-leaders,Afghanistan,individual,"Min. of Martyred, Disabled, Labor, & Social Affairs",,Nasreen ORYAKHIL,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:01.552675
,2018-04-26 10:54:48.903384,, 7 Mar 2016	 ,,us-cia-world-leaders.e73f6188d7330a497aff23bb82f81332b65ba5be,,,us-cia-world-leaders,Azerbaijan,individual,Dep. Prime Min.,,Ali AKHMEDOV,https://www.cia.gov/library/publications/resources/world-leaders-1/AJ.html,,,,2018-04-12 08:15:00.455872
,2018-04-26 10:54:49.262352,, 11 Mar 2016	 ,,us-cia-world-leaders.49d356f46a32806d2ebe387af95642bffaec4ad8,,,us-cia-world-leaders,Belize,individual,Governor Gen.,,"Colville YOUNG , Sir",https://www.cia.gov/library/publications/resources/world-leaders-1/BH.html,,,,2018-04-12 08:15:00.143940
,2018-04-26 10:54:49.314594,, 6 Aug 2015	 ,,us-cia-world-leaders.02e3bff897d70dc41e902584bb7c165f07da01d6,,,us-cia-world-leaders,Algeria,individual,Min. of Higher Education & Scientific Research,,Tahar HADJAR,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,,2018-04-12 08:15:02.136516
,2018-04-26 10:54:49.902999,, 15 Sep 2016	 ,,us-cia-world-leaders.8489a023f43590a6dc0e4de89ed39e4a475edb25,,,us-cia-world-leaders,Belgium,individual,"Min. of Employment, Economy, & Consumer Affairs",,Kris PEETERS,https://www.cia.gov/library/publications/resources/world-leaders-1/BE.html,,,,2018-04-12 08:15:16.670508
,2018-04-26 10:54:50.302890,, 12 Jul 2013	 ,,us-cia-world-leaders.64949362db631438e61de9c1d0db2a2b9dce446f,,,us-cia-world-leaders,Belarus,individual,Min. of Sports & Tourism,,Aleksandr SHAMKO,https://www.cia.gov/library/publications/resources/world-leaders-1/BO.html,,,,2018-04-12 08:15:25.980141
,2018-04-26 10:54:51.075884,, 16 Oct 2015	 ,,us-cia-world-leaders.ba1a14c0a1dc81d613a6dc4ccdb1d42cccd143fb,,,us-cia-world-leaders,Cameroon,individual,Prime Min.,,Philemon YANG,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:25.644348
,2018-04-26 10:54:51.124930,, 16 Oct 2015	 ,,us-cia-world-leaders.5decf6b012ac63f356fced1eb1e81f1c44649940,,,us-cia-world-leaders,Cameroon,individual,Min. in Charge of Special Duties at the Presidency,,Paul ATANGA NJI,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:25.569050
,2018-04-26 10:54:51.315971,, 16 Oct 2015	 ,,us-cia-world-leaders.231da85c3d590974356ad59a8e048330cc0e87ee,,,us-cia-world-leaders,Cameroon,individual,Min. of Mines & Technological Development,,Ernest NGWABOUBOU,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:26.393274
,2018-04-26 10:54:51.367184,, 16 Oct 2015	 ,,us-cia-world-leaders.e96cf3dac7865a1afe659dbc5c38dfb76cfbba19,,,us-cia-world-leaders,Cameroon,individual,Min. of Urban Development & Housing,,Colbert TCHATAT,https://www.cia.gov/library/publications/resources/world-leaders-1/CM.html,,,,2018-04-12 08:15:28.297666
,2018-04-26 10:54:52.420871,, 27 Dec 2016	 ,,us-cia-world-leaders.be6f733c7f39ce00f90100b2ebf4fdcc53485dc3,,,us-cia-world-leaders,"Congo, Democratic Republic of the",individual,Min. of State for Decentralization & Institutional Reforms,,Azarias RUBERWA,https://www.cia.gov/library/publications/resources/world-leaders-1/CG.html,,,,2018-04-12 08:15:24.406887
,2018-04-26 10:54:53.612146,, 5 Jan 2017	 ,,us-cia-world-leaders.1b0801cc3dddbc68847017f0bec9dcf05b00b6dd,,,us-cia-world-leaders,Czechia,individual,Min. of Finance,,Andrej BABIS,https://www.cia.gov/library/publications/resources/world-leaders-1/EZ.html,,,,2018-04-12 08:15:35.901488
,2018-04-26 10:54:53.711039,, 5 Jan 2017	 ,,us-cia-world-leaders.24d90146852a197a749816420ee39f4c0e720408,,,us-cia-world-leaders,Czechia,individual,Min. for Regional Development,,Karla SLECHTOVA,https://www.cia.gov/library/publications/resources/world-leaders-1/EZ.html,,,,2018-04-12 08:15:36.966118
,2018-04-26 10:54:54.157716,, 15 Jul 2016	 ,,us-cia-world-leaders.d0d79bac4771bc00a2b5a9334be002212cf57a36,,,us-cia-world-leaders,Equatorial Guinea,individual,Min. of Urbanization,,Reginaldo Asu MANGUE,https://www.cia.gov/library/publications/resources/world-leaders-1/EK.html,,,,2018-04-12 08:15:22.757698
,2018-04-26 10:54:54.888811,, 24 Jan 2017	 ,,us-cia-world-leaders.402b3c273108a40e3d0d32b50d2662c25303a848,,,us-cia-world-leaders,Cuba,individual,Min. of Domestic Trade,,Mary Blanca ORTEGA Barredo,https://www.cia.gov/library/publications/resources/world-leaders-1/CU.html,,,,2018-04-12 08:15:22.673219
,2018-04-26 10:54:55.112228,, 15 Aug 2016	 ,,us-cia-world-leaders.ea412d056ff6a533d37a5d2a0d2b7096623fa635,,,us-cia-world-leaders,"Gambia, The",individual,Min. of Finance & Economic Affairs,,Abdou KOLLEY,https://www.cia.gov/library/publications/resources/world-leaders-1/GA.html,,,,2018-04-12 08:15:43.943251
,2018-04-26 10:54:55.164446,, 27 Jan 2017	 ,,us-cia-world-leaders.5bb547216e8350f19562b05285696ed6950d8723,,,us-cia-world-leaders,Germany,individual,Min. for Economics & Energy,,Brigitte ZYPRIES,https://www.cia.gov/library/publications/resources/world-leaders-1/GM.html,,,,2018-04-12 08:15:28.007498
,2018-04-26 10:54:47.475355,, 23 Sep 2013	 ,,us-cia-world-leaders.282fbd59b4ef83339d296091e1d1d2d6af0abd4c,,,us-cia-world-leaders,"Bahamas, The",individual,Min. of Financial Services,,Ryan PINDER,https://www.cia.gov/library/publications/resources/world-leaders-1/BF.html,,,,2018-04-12 08:15:10.437620
,2018-04-26 10:54:47.530233,, 27 Jan 2017	 ,,us-cia-world-leaders.640eb088d5852510c6f2f5a1a0e96290b55d87e9,,,us-cia-world-leaders,Austria,individual,"Min. for Agriculture, Forestry, Environment, & Water Management",,Andrae RUPPRECHTER,https://www.cia.gov/library/publications/resources/world-leaders-1/AU.html,,,,2018-04-12 08:15:01.396540
,2018-04-26 10:54:47.824072,, 15 Sep 2016	 ,,us-cia-world-leaders.0af7617faa02c4f6e145f5591e176da44ce8dc38,,,us-cia-world-leaders,Angola,individual,Min. of Higher Education,,Adao do NASCIMENTO,https://www.cia.gov/library/publications/resources/world-leaders-1/AO.html,,,,2018-04-12 08:14:56.578759
,2018-04-26 10:54:47.973991,, 1 Feb 2017	 ,,us-cia-world-leaders.be8fdf35fc6c62fe4f4e93704013a1eeabb0ee08,,,us-cia-world-leaders,Australia,individual,Min. for Employment,,Michaelia Claire CASH,https://www.cia.gov/library/publications/resources/world-leaders-1/AS.html,,,,2018-04-12 08:14:59.341614
,2018-04-26 10:54:48.318440,, 24 Jun 2016	 ,,us-cia-world-leaders.104df92f05c92cd9a82721755df34cd35029b833,,,us-cia-world-leaders,Afghanistan,individual,First Deputy CEO,,Khyal Mohammad KHAN,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:01.433716
,2018-04-26 10:54:48.423369,, 24 Jun 2016	 ,,us-cia-world-leaders.2c2b75ebc5e26271bfc347346a1bc99b12967706,,,us-cia-world-leaders,Afghanistan,individual,Min. of Commerce & Industry,,Homayoun RASA,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:00.594108
,2018-04-26 10:54:48.734991,, 24 Jun 2016	 ,,us-cia-world-leaders.c2dbc399822bcb1d438b236138757751f1bc8004,,,us-cia-world-leaders,Afghanistan,individual,Min. of Rural Rehabilitation & Development,,Nasir Ahmad DURRANI,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,,2018-04-12 08:15:00.919016
,2018-04-26 10:54:48.960554,, 7 Mar 2016	 ,,us-cia-world-leaders.7f7e05a8d4a5e8d0e8ea91a88a8120eacd3182cf,,,us-cia-world-leaders,Azerbaijan,individual,Min. of Communications & Information Technology,,Ramin GULUZADE,https://www.cia.gov/library/publications/resources/world-leaders-1/AJ.html,,,,2018-04-12 08:14:59.669013
,2018-04-26 10:54:49.263879,, 6 Aug 2015	 ,,us-cia-world-leaders.5fedc5238b2e6d6d57bfd0d9fdee043b019b95ab,,,us-cia-world-leaders,Algeria,individual,Min. of Commerce,,Bakhti BELAIB,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,,2018-04-12 08:15:02.191922
,2018-04-26 10:54:49.315556,, 6 Aug 2015	 ,,us-cia-world-leaders.5f0e03e1ce2bcd2172bf4ca9e641a943ba425ae0,,,us-cia-world-leaders,Algeria,individual,"Min. of Health, Population, & Hospital Reform",,Abdelmalek BOUDIAF,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,,2018-04-12 08:15:02.036017
,2018-04-26 10:54:49.455264,, 11 Mar 2016	 ,,us-cia-world-leaders.10f9acc931786955f67bb4b99d96ac51cb015f92,,,us-cia-world-leaders,Belize,individual,"Min. of Information, Broadcasting, & Public Utilities",,Elvin PENNER,https://www.cia.gov/library/publications/resources/world-leaders-1/BH.html,,,,2018-04-12 08:14:59.748311
,2018-04-26 10:54:49.861111,, 15 Sep 2016	 ,,us-cia-world-leaders.c1bfced959331f8ec668730fb1d4388df3164067,,,us-cia-world-leaders,Belgium,individual,Dep. Prime Min.,,Alexander DE CROO,https://www.cia.gov/library/publications/resources/world-leaders-1/BE.html,,,,2018-04-12 08:15:16.351140
,2018-04-26 10:54:50.011167,, 15 Sep 2016	 ,,us-cia-world-leaders.55326f4daaff6fe3f818a2d4d1064161edc14eaa,,,us-cia-world-leaders,Belgium,individual,Min. of Transportation,,Francois BELLOT,https://www.cia.gov/library/publications/resources/world-leaders-1/BE.html,,,,2018-04-12 08:15:16.770912
,2018-04-26 10:54:50.110606,, 29 Nov 2016	 ,,us-cia-world-leaders.fbee13621f4e04e10c9f3dfb68571a2ebea035a8,,,us-cia-world-leaders,Brazil,individual,"Min. of Science, Technology, Innovation, & Communications",,Gilberto KASSAB,https://www.cia.gov/library/publications/resources/world-leaders-1/BR.html,,,,2018-04-12 08:15:32.518040
,2018-04-26 10:54:50.212233,, 12 Jul 2013	 ,,us-cia-world-leaders.f89768fab9e47ee15cf97bcf52c85c75385c2bd7,,,us-cia-world-leaders,Belarus,individual,Dep. Prime Min.,,Petr PROKOPOVICH,https://www.cia.gov/library/publications/resources/world-leaders-1/BO.html,,,,2018-04-12 08:15:25.737305
