last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
Leuthard,2018-04-26 08:30:36.903114,,,,worldpresidentsdb.69b5b2d02d52c4475948c43ce1d4451cf80ee447,Doris,,worldpresidentsdb,Christian Democratic People's Party,individual,President,,Doris Leuthard,http://www.worldpresidentsdb.com/Doris-Leuthard/,,"Minister of Environment, Transport, Energy and Communications",,2018-04-12 07:35:38.082298
Jae In,2018-04-26 08:30:49.274110,,,,worldpresidentsdb.b11102a150f208d618bb9f1cc0f5573c0ea0576f,Moon,,worldpresidentsdb,Democratic,individual,President,,Moon Jae In,http://www.worldpresidentsdb.com/Moon-Jae-In/,,Leader of the Democratic Party (2015-16),,2018-04-12 07:35:40.251241
Netanyahu,2018-04-26 08:30:50.465780,,,,worldpresidentsdb.8301c0a894ec20bc805ad99edca99fedee155ea8,Benjamin,,worldpresidentsdb,Likud,individual,President,,Benjamin Netanyahu,http://www.worldpresidentsdb.com/Benjamin-Netanyahu/,,"Leader of the Opposition, Minister of Finance, Minister of Foreign Affairs, Deputy Minister of Foreign Affairs, Minister of Economic Strategy, Minister of Pensioner Affairs, Minister of Health",,2018-04-12 07:35:40.391039
Jong un,2018-04-26 08:30:37.127652,,,,worldpresidentsdb.24e5ce53473b8d7d0e6ce10adffa2b723bae3859,Kim,,worldpresidentsdb,Workers' Party of Korea,individual,President,,Kim Jong un,http://www.worldpresidentsdb.com/Kim-Jong-un/,,"Supreme Leader of North Korea, First Chairman of the National Defence Commission, Supreme Commander of the Korean People's Army, Chairman of the Central Military Commission, Vice Chairman of the Central Military Commission",,2018-04-12 07:35:38.242709
Mujica,2018-04-26 08:30:49.808850,,,,worldpresidentsdb.58602da759ef6e1b5f0a16789b8034a4890b1525,Jose,,worldpresidentsdb,Broad Front,individual,President,,Jose Mujica,http://www.worldpresidentsdb.com/Jose-Mujica/,,Minister of Agriculture,,2018-04-12 07:35:39.854879
Poroshenko,2018-04-26 08:30:50.322386,,,,worldpresidentsdb.dfecf17b1a0500df6d557568f48d1853be778730,Petro,,worldpresidentsdb,Independent,individual,President,,Petro Poroshenko,http://www.worldpresidentsdb.com/Petro-Poroshenko/,,"Minister of Foreign Affairs, Minister of Trade and Economic Development",,2018-04-12 07:35:40.470088
Ortega,2018-04-26 08:30:50.433603,,,,worldpresidentsdb.119284e464819dcdec0c56d9e2b8dedfd43111a1,Daniel,,worldpresidentsdb,Sandinista National Liberation,individual,President,,Daniel Ortega,http://www.worldpresidentsdb.com/Daniel-Ortega/,,,,2018-04-12 07:35:40.170744
Masum,2018-04-26 08:30:44.281948,,,,worldpresidentsdb.92866f94acd88b3d1be683578018c99665bcd7a8,Fuad,,worldpresidentsdb,Patriotic Union of Kurdistan,individual,President,,Fuad Masum,http://www.worldpresidentsdb.com/Fuad-Masum/,,"Prime Minister of Kurdistan, Speaker of the Council of Representatives",,2018-04-12 07:35:38.524576
Papoulias,2018-04-26 08:30:50.322436,,,,worldpresidentsdb.153c3e1b981f7d4d67e7baba148ac7a40488f4b5,Karolos,,worldpresidentsdb,Panhellenic Socialist Movement,individual,President,,Karolos Papoulias,http://www.worldpresidentsdb.com/Karolos-Papoulias/,,"Minister of Foreign Affairs, Alternate Minister for National Defence",,2018-04-12 07:35:40.594264
Hamid,2018-04-26 08:30:08.755867,,,,worldpresidentsdb.714044f22ae85011fd7f1b5b41785a3bfb76c4a0,Abdul,,worldpresidentsdb,Awami League,individual,President,,Abdul Hamid,http://www.worldpresidentsdb.com/Abdul-Hamid/,,Speaker of Jatiyo Sangshad,,2018-04-12 07:35:38.780708
