last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
ÅBERG,2018-04-26 06:30:02.131992,,,,coe_assembly.7295,Boriana ,,coe_assembly,,individual,Representative,,Boriana ÅBERG,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7295,,Group of the European People's Party (EPP/CD),,2018-04-12 06:13:40.746231
AKTAY,2018-04-26 06:30:02.150653,,,,coe_assembly.7480,Yasin ,,coe_assembly,,individual,Representative,,Yasin AKTAY,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7480,,Free Democrats Group (FDG),,2018-04-12 06:13:15.157970
AKBULUT,2018-04-26 06:30:02.172052,,,,coe_assembly.7890,Gökay ,,coe_assembly,,individual,Substitute,,Gökay AKBULUT,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7890,,Group of the Unified European Left (UEL),,2018-04-12 06:13:30.549097
CLARK,2018-04-26 06:30:26.338695,,,,coe_assembly.7816,Colin ,,coe_assembly,,individual,Substitute,,Colin CLARK,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7816,,European Conservatives Group (EC),,2018-04-12 06:13:29.225433
DE TEMMERMAN,2018-04-26 06:30:26.752988,,,,coe_assembly.7763,Jennifer ,,coe_assembly,,individual,Representative,,Jennifer DE TEMMERMAN,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7763,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:43.184897
DUMERY,2018-04-26 06:30:39.133539,,,,coe_assembly.6636,Daphné ,,coe_assembly,,individual,Representative,,Daphné DUMERY,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=6636,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:44.962754
EIDE,2018-04-26 06:30:41.918540,,,,coe_assembly.7805,Espen Barth ,,coe_assembly,,individual,Representative,,Espen Barth EIDE,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7805,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:47.348467
ÜNAL,2018-04-26 06:31:35.181147,,,,coe_assembly.7488,Şirin ,,coe_assembly,,individual,Substitute,,Şirin ÜNAL,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7488,,Free Democrats Group (FDG),,2018-04-12 06:15:13.260536
WENAWESER,2018-04-26 06:31:57.224762,,,,coe_assembly.7725,Christoph ,,coe_assembly,,individual,Representative,,Christoph WENAWESER,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7725,,Alliance of Liberals and Democrats for Europe (ALDE),,2018-04-12 06:15:19.032113
YENEROĞLU,2018-04-26 06:31:58.780747,,,,coe_assembly.7479,Mustafa ,,coe_assembly,,individual,Representative,,Mustafa YENEROĞLU,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7479,,Free Democrats Group (FDG),,2018-04-12 06:15:16.784634
ALAZZAM,2018-04-26 06:30:02.216907,,,,coe_assembly.7883,Riad ,,coe_assembly,,individual,Substitute,,Riad ALAZZAM,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7883,,(),,2018-04-12 06:13:40.980771
CAVAZOS LERMA,2018-04-26 06:30:25.321323,,,,coe_assembly.7146,Manuel ,,coe_assembly,,individual,Substitute,,Manuel CAVAZOS LERMA,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7146,,(),,2018-04-12 06:13:25.864374
CAZEAU,2018-04-26 06:30:25.324580,,,,coe_assembly.7826,Bernard ,,coe_assembly,,individual,Representative,,Bernard CAZEAU,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7826,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:25.913874
CERİTOĞLU KURT,2018-04-26 06:30:25.329611,,,,coe_assembly.7485,Lütfiye İlksen ,,coe_assembly,,individual,Substitute,,Lütfiye İlksen CERİTOĞLU KURT,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7485,,European Conservatives Group (EC),,2018-04-12 06:13:25.948852
CHRISTENSEN,2018-04-26 06:30:25.392190,,,,coe_assembly.7839,Jette ,,coe_assembly,,individual,Substitute,,Jette CHRISTENSEN,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7839,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:26.125978
CHITI,2018-04-26 06:30:25.437186,,,,coe_assembly.6404,Vannino ,,coe_assembly,,individual,Representative,,Vannino CHITI,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=6404,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:25.991534
COURSON,2018-04-26 06:30:25.818795,,,,coe_assembly.7835,Yolaine de,,coe_assembly,,individual,Substitute,,Yolaine de COURSON,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7835,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:27.464637
CHUGOSHVILI,2018-04-26 06:30:26.277508,,,,coe_assembly.7681,Tamar ,,coe_assembly,,individual,Representative,,Tamar CHUGOSHVILI,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7681,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:29.400492
CILEVIČS,2018-04-26 06:30:26.280691,,,,coe_assembly.4135,Boriss ,,coe_assembly,,individual,Substitute,,Boriss CILEVIČS,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=4135,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:29.444725
DELIU,2018-04-26 06:30:26.809940,,,,coe_assembly.7762,Tudor ,,coe_assembly,,individual,Substitute,,Tudor DELIU,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7762,,Group of the European People's Party (EPP/CD),,2018-04-12 06:13:42.464049
EROTOKRITOU,2018-04-26 06:30:42.015312,,,,coe_assembly.7612,Christiana ,,coe_assembly,,individual,Substitute,,Christiana EROTOKRITOU,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7612,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:47.207922
AGRAMUNT,2018-04-26 06:30:02.230253,,,,coe_assembly.4388,Pedro ,,coe_assembly,,individual,Representative,,Pedro AGRAMUNT,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=4388,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:14.953791
AZEVEDO,2018-04-26 06:30:02.710843,,,,coe_assembly.7541,Sérgio ,,coe_assembly,,individual,Substitute,,Sérgio AZEVEDO,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7541,,Group of the European People's Party (EPP/CD),,2018-04-12 06:13:29.214209
USLU,2018-04-26 06:31:35.190449,,,,coe_assembly.7847,Atay ,,coe_assembly,,individual,Substitute,,Atay USLU,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7847,,Free Democrats Group (FDG),,2018-04-12 06:15:13.334411
VITANOV,2018-04-19 06:24:19.963320,,,,coe_assembly.7743,Petar ,,coe_assembly,,individual,Substitute,,Petar VITANOV,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7743,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:15:14.984302
AIELLO,2018-04-26 06:30:02.230423,,,,coe_assembly.7123,Ferdinando ,,coe_assembly,,individual,Substitute,,Ferdinando AIELLO,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7123,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:19.956530
AZZOPARDI,2018-04-26 06:30:02.710420,,,,coe_assembly.7786,Jason ,,coe_assembly,,individual,Substitute,,Jason AZZOPARDI,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7786,,Group of the European People's Party (EPP/CD),,2018-04-12 06:13:31.041683
ARENT,2018-04-26 06:30:18.199064,,,,coe_assembly.7505,Iwona ,,coe_assembly,,individual,Representative,,Iwona ARENT,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7505,,European Conservatives Group (EC),,2018-04-12 06:13:08.725382
BUDNER,2018-04-26 06:30:23.117646,,,,coe_assembly.7518,Margareta ,,coe_assembly,,individual,Representative,,Margareta BUDNER,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7518,,European Conservatives Group (EC),,2018-04-12 06:13:32.983885
BUSHATI,2018-04-26 06:30:23.120581,,,,coe_assembly.7798,Ervin ,,coe_assembly,,individual,Representative,,Ervin BUSHATI,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7798,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:33.027964
BUSHKA,2018-04-26 06:30:23.127696,,,,coe_assembly.7799,Klotilda ,,coe_assembly,,individual,Representative,,Klotilda BUSHKA,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7799,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:33.169333
BOGDANOV,2018-04-26 06:30:23.613054,,,,coe_assembly.7739,Krasimir ,,coe_assembly,,individual,Representative,,Krasimir BOGDANOV,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7739,,European Conservatives Group (EC),,2018-04-12 06:13:33.210377
BLAHA,2018-04-26 06:30:24.101424,,,,coe_assembly.6931,Ľuboš ,,coe_assembly,,individual,Representative,,Ľuboš BLAHA,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=6931,,"Socialists, Democrats and Greens Group (SOC)",,2018-04-12 06:13:33.302317
CERVELLINI,2018-04-26 06:30:25.326708,,,,coe_assembly.7145,Massimo ,,coe_assembly,,individual,Substitute,,Massimo CERVELLINI,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7145,,Members not belonging to a Political Group (NR),,2018-04-12 06:13:33.390342
CHALK,2018-04-26 06:30:25.330463,,,,coe_assembly.7815,Alex ,,coe_assembly,,individual,Substitute,,Alex CHALK,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7815,,European Conservatives Group (EC),,2018-04-12 06:13:33.538667
CHAGAF,2018-04-26 06:30:25.329804,,,,coe_assembly.7758,Aziza ,,coe_assembly,,individual,Substitute,,Aziza CHAGAF,http://www.assembly.coe.int/nw/xml/AssemblyList/MP-Details-EN.asp?MemberID=7758,,(),,2018-04-12 06:13:33.489547
