first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
,,,,,,2018-04-26 10:57:51.860050,everypolitician.dd6909de-898c-4e2d-8c28-f89a967398b3,,,,"RICHARDSON-HODGE, Cora",2018-04-19 09:32:54.484169
,,,,,,2018-04-26 11:02:47.773048,everypolitician.58c8764f-7d76-4e4d-ae6b-b2bf1b7fc41a,,,,"Lomwa, Joseph Samal",2018-04-12 09:03:01.572421
,,,,,,2018-04-26 10:58:27.506527,everypolitician.b7aa3154-8a36-48a2-b600-1d170b41bca0,,,,"Joyce, Barnaby",2018-04-19 09:33:13.380335
,,,,,,2018-04-26 10:58:28.266196,everypolitician.3b28b7dc-b177-4c44-aa75-ce627e9b7fd8,,,,"Wortley, Dana",2018-04-19 09:33:13.267954
,,,,,,2018-04-26 10:58:28.299547,everypolitician.044c2835-1a7b-4652-9df4-189d26a458e1,,,,"Milne, Christine",2018-04-19 09:33:14.197181
,,,,,,2018-04-26 11:00:20.224452,everypolitician.20cf0c64-e0b7-476f-85c9-8cadd35ece12,,,,Rainer!,2018-04-19 09:36:13.023920
,,,,,,2018-04-26 11:01:24.130791,everypolitician.901eb2ab-acd2-46e7-9e7d-461a1cf8bdea,,,,"Hajduk, Anja",2018-04-19 09:35:50.662750
,,,,,,2018-04-26 11:01:24.336053,everypolitician.816bc8c5-d666-4e20-a8ca-41a84f26c30a,,,,"Baerbock, Annalena",2018-04-19 09:35:50.838784
,,,,,,2018-04-26 11:03:19.615153,everypolitician.80c4cd76-72c1-46fa-b7c0-9ee231d0d19a,,,,Ojeda Anguiano Jerónimo Alejandro,2018-04-12 09:03:46.120458
,,,,,,2018-04-26 11:03:21.179667,everypolitician.ac9844f5-6154-4e72-826c-a2124b3e9e62,,,,López Córdova José Everardo,2018-04-12 09:03:49.524542
,,,,,,2018-04-26 10:57:52.083146,everypolitician.8d69da9b-558d-42b8-98d2-19f2743b551f,,,,"CONNOR, Cardigan",2018-04-19 09:32:54.609368
,,,,,,2018-04-26 11:03:19.180647,everypolitician.4908e582-cf99-4608-ba2d-30ed7490ec8b,,,,Cristopulos Ríos Héctor Ulises,2018-04-12 09:03:42.328588
,,,,,,2018-04-26 11:01:23.338509,everypolitician.3e080f9d-50a9-4c0a-a72e-5ed0ef155984,,,,"Rupprecht, Albert",2018-04-12 09:01:49.928163
,,,,,,2018-04-26 11:03:20.411721,everypolitician.e20df936-dde2-4ffb-b726-eddd03ea0456,,,,Gaviño Ambriz Jorge(pendiente protesta),2018-04-12 09:03:46.507822
,,,,,,2018-04-26 11:03:20.724954,everypolitician.a2f39cc1-b39c-45cd-b452-fa4b5cc241f6,,,,Ortega Pacheco Ivonne Aracelly,2018-04-12 09:03:45.200900
,,,,,,2018-04-26 11:03:21.179212,everypolitician.de666e4a-834f-40cd-bc50-b663f7570539,,,,Salas Valencia José Antonio,2018-04-12 09:03:47.654199
,,,,,,2018-04-26 11:03:21.438217,everypolitician.258273d8-4f4a-4fe6-a744-29f129b136b7,,,,Orozco Sánchez Aldana José Luis,2018-04-12 09:03:50.083059
,,,,,,2018-04-26 10:57:51.982481,everypolitician.873fbc80-e6da-4cc3-9b1a-d5ce7e1436fe,,,,"RICHARDSON, Curtis A.",2018-04-19 09:32:54.617746
,,,,,,2018-04-26 11:03:19.181219,everypolitician.297db5ca-1c4a-44ca-821b-917d5d2192a3,,,,Schemelensky Castro Ingrid Krasopani,2018-04-12 09:03:45.200526
,,,,,,2018-04-26 11:01:24.044777,everypolitician.15bf7722-d2b5-447a-a96b-d7f920e04c83,,,,"Lenz, Andreas",2018-04-19 09:35:51.687824
,,,,,,2018-04-26 11:01:29.524467,everypolitician.120b3593-def9-4865-b456-4d8fb724c777,,,,"Tressel, Markus",2018-04-12 09:02:02.392695
,,,,,,2018-04-26 11:03:20.383276,everypolitician.a4e54435-f63f-4108-b9f1-8c4e13f20383,,,,Barrera Marmolejo Héctor,2018-04-12 09:03:44.504192
,,,,,,2018-04-26 11:03:20.541732,everypolitician.d54e20d4-d2fe-4a12-9e65-daf070740b32,,,,Álvarez López Jorge,2018-04-12 09:03:45.727339
,,,,,,2018-04-26 10:57:52.007261,everypolitician.fb9c56df-edf1-47b2-9541-38d50d46ca20,,,,"BANKS, Victor",2018-04-19 09:32:55.046444
,,,,,,2018-04-26 11:03:19.556151,everypolitician.5dd0fddb-1a95-4990-b4ea-6a75e41befa2,,,,Zúñiga Mendoza J. Jesús,2018-04-12 09:03:42.696466
